"time","S","I","R","new_I","new_R"
0,49,1,0,1,0
0.5,49,1,0,0,0
1,49,1,0,0,0
1.5,49,1,0,0,0
2,49,1,0,0,0
2.5,48,2,0,1,0
3,48,2,0,0,0
3.5,48,2,0,0,0
4,48,2,0,0,0
4.5,47,3,0,1,0
5,47,3,0,0,0
5.5,46,4,0,1,0
6,44,6,0,2,0
6.5,42,8,0,2,0
7,42,7,1,0,1
7.5,42,7,1,0,0
8,41,8,1,1,0
8.5,41,8,1,0,0
9,41,8,1,0,0
9.5,40,9,1,1,0
10,40,7,3,0,2
10.5,40,7,3,0,0
11,38,9,3,2,0
11.5,37,10,3,1,0
12,33,13,4,4,1
12.5,32,14,4,1,0
13,31,14,5,1,1
13.5,29,15,6,2,1
14,28,16,6,1,0
14.5,28,16,6,0,0
15,25,19,6,3,0
15.5,25,19,6,0,0
16,25,19,6,0,0
16.5,24,20,6,1,0
17,23,20,7,1,1
17.5,23,20,7,0,0
18,23,20,7,0,0
18.5,22,20,8,1,1
19,21,19,10,1,2
19.5,20,20,10,1,0
20,17,23,10,3,0
20.5,16,22,12,1,2
21,16,22,12,0,0
21.5,15,22,13,1,1
22,13,23,14,2,1
22.5,13,21,16,0,2
23,12,21,17,1,1
23.5,11,22,17,1,0
24,9,24,17,2,0
24.5,9,23,18,0,1
25,9,22,19,0,1
25.5,8,23,19,1,0
26,8,22,20,0,1
26.5,7,21,22,1,2
27,6,22,22,1,0
27.5,5,22,23,1,1
28,4,23,23,1,0
28.5,4,23,23,0,0
29,4,23,23,0,0
29.5,4,20,26,0,3
30,3,19,28,1,2
30.5,2,19,29,1,1
31,2,19,29,0,0
31.5,1,19,30,1,1
32,1,18,31,0,1
32.5,1,15,34,0,3
33,1,12,37,0,3
33.5,1,12,37,0,0
34,1,11,38,0,1
34.5,1,11,38,0,0
35,1,11,38,0,0
35.5,1,11,38,0,0
36,1,11,38,0,0
36.5,1,10,39,0,1
37,1,9,40,0,1
37.5,1,8,41,0,1
38,1,8,41,0,0
38.5,1,8,41,0,0
39,1,8,41,0,0
39.5,1,8,41,0,0
40,1,8,41,0,0
40.5,1,8,41,0,0
41,0,9,41,1,0
41.5,0,8,42,0,1
42,0,8,42,0,0
42.5,0,8,42,0,0
43,0,8,42,0,0
43.5,0,8,42,0,0
44,0,8,42,0,0
44.5,0,8,42,0,0
45,0,8,42,0,0
45.5,0,7,43,0,1
46,0,7,43,0,0
46.5,0,6,44,0,1
47,0,6,44,0,0
47.5,0,5,45,0,1
48,0,5,45,0,0
48.5,0,5,45,0,0
49,0,5,45,0,0
49.5,0,4,46,0,1
50,0,3,47,0,1
50.5,0,3,47,0,0
51,0,3,47,0,0
51.5,0,3,47,0,0
52,0,3,47,0,0
52.5,0,3,47,0,0
53,0,3,47,0,0
53.5,0,2,48,0,1
54,0,2,48,0,0
54.5,0,2,48,0,0
55,0,2,48,0,0
55.5,0,2,48,0,0
56,0,1,49,0,1
56.5,0,1,49,0,0
57,0,1,49,0,0
57.5,0,1,49,0,0
58,0,1,49,0,0
58.5,0,1,49,0,0
59,0,1,49,0,0
59.5,0,1,49,0,0
60,0,1,49,0,0
60.5,0,1,49,0,0
61,0,1,49,0,0
61.5,0,1,49,0,0
62,0,1,49,0,0
62.5,0,1,49,0,0
63,0,1,49,0,0
63.5,0,1,49,0,0
64,0,1,49,0,0
64.5,0,1,49,0,0
65,0,1,49,0,0
65.5,0,1,49,0,0
66,0,1,49,0,0
66.5,0,1,49,0,0
67,0,1,49,0,0
67.5,0,0,50,0,1
68,0,0,50,0,0
68.5,0,0,50,0,0
69,0,0,50,0,0
69.5,0,0,50,0,0
70,0,0,50,0,0
70.5,0,0,50,0,0
71,0,0,50,0,0
71.5,0,0,50,0,0
72,0,0,50,0,0
72.5,0,0,50,0,0
73,0,0,50,0,0
73.5,0,0,50,0,0
74,0,0,50,0,0
74.5,0,0,50,0,0
75,0,0,50,0,0
75.5,0,0,50,0,0
76,0,0,50,0,0
76.5,0,0,50,0,0
77,0,0,50,0,0
77.5,0,0,50,0,0
78,0,0,50,0,0
78.5,0,0,50,0,0
79,0,0,50,0,0
79.5,0,0,50,0,0
80,0,0,50,0,0
