"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,195,5,0,1,0
1,193,7,0,2,0
1.5,193,7,0,0,0
2,193,7,0,0,0
2.5,193,7,0,0,0
3,192,7,1,1,1
3.5,192,7,1,0,0
4,189,10,1,3,0
4.5,188,11,1,1,0
5,186,13,1,2,0
5.5,186,13,1,0,0
6,184,13,3,2,2
6.5,184,12,4,0,1
7,183,13,4,1,0
7.5,183,13,4,0,0
8,181,15,4,2,0
8.5,181,15,4,0,0
9,181,14,5,0,1
9.5,179,15,6,2,1
10,178,16,6,1,0
10.5,178,16,6,0,0
11,176,18,6,2,0
11.5,176,17,7,0,1
12,176,17,7,0,0
12.5,175,17,8,1,1
13,175,17,8,0,0
13.5,175,16,9,0,1
14,174,16,10,1,1
14.5,173,17,10,1,0
15,173,17,10,0,0
15.5,173,16,11,0,1
16,172,13,15,1,4
16.5,171,13,16,1,1
17,169,15,16,2,0
17.5,169,12,19,0,3
18,167,14,19,2,0
18.5,166,15,19,1,0
19,166,15,19,0,0
19.5,165,15,20,1,1
20,163,16,21,2,1
20.5,161,17,22,2,1
21,157,20,23,4,1
21.5,155,20,25,2,2
22,153,21,26,2,1
22.5,152,22,26,1,0
23,150,23,27,2,1
23.5,148,25,27,2,0
24,148,24,28,0,1
24.5,147,23,30,1,2
25,146,23,31,1,1
25.5,146,23,31,0,0
26,146,21,33,0,2
26.5,144,18,38,2,5
27,144,18,38,0,0
27.5,143,19,38,1,0
28,143,19,38,0,0
28.5,143,18,39,0,1
29,141,18,41,2,2
29.5,140,18,42,1,1
30,139,18,43,1,1
30.5,139,17,44,0,1
31,138,18,44,1,0
31.5,138,18,44,0,0
32,137,19,44,1,0
32.5,137,19,44,0,0
33,136,19,45,1,1
33.5,136,18,46,0,1
34,135,16,49,1,3
34.5,135,15,50,0,1
35,134,15,51,1,1
35.5,134,15,51,0,0
36,134,15,51,0,0
36.5,134,14,52,0,1
37,134,14,52,0,0
37.5,134,14,52,0,0
38,133,13,54,1,2
38.5,132,12,56,1,2
39,132,12,56,0,0
39.5,132,12,56,0,0
40,131,13,56,1,0
40.5,131,13,56,0,0
41,131,12,57,0,1
41.5,131,12,57,0,0
42,129,13,58,2,1
42.5,128,12,60,1,2
43,128,11,61,0,1
43.5,128,8,64,0,3
44,128,8,64,0,0
44.5,128,8,64,0,0
45,127,8,65,1,1
45.5,127,8,65,0,0
46,127,7,66,0,1
46.5,127,6,67,0,1
47,127,6,67,0,0
47.5,127,5,68,0,1
48,127,5,68,0,0
48.5,126,6,68,1,0
49,126,5,69,0,1
49.5,126,5,69,0,0
50,125,5,70,1,1
50.5,125,4,71,0,1
51,125,3,72,0,1
51.5,125,3,72,0,0
52,124,4,72,1,0
52.5,124,4,72,0,0
53,123,4,73,1,1
53.5,123,4,73,0,0
54,123,4,73,0,0
54.5,123,4,73,0,0
55,123,4,73,0,0
55.5,123,4,73,0,0
56,123,4,73,0,0
56.5,123,4,73,0,0
57,123,3,74,0,1
57.5,122,4,74,1,0
58,122,4,74,0,0
58.5,121,5,74,1,0
59,121,5,74,0,0
59.5,121,5,74,0,0
60,121,5,74,0,0
60.5,121,4,75,0,1
61,121,4,75,0,0
61.5,121,4,75,0,0
62,121,4,75,0,0
62.5,121,3,76,0,1
63,121,2,77,0,1
63.5,121,2,77,0,0
64,121,2,77,0,0
64.5,121,2,77,0,0
65,121,2,77,0,0
65.5,121,2,77,0,0
66,121,2,77,0,0
66.5,121,2,77,0,0
67,121,2,77,0,0
67.5,121,2,77,0,0
68,121,2,77,0,0
68.5,121,0,79,0,2
69,121,0,79,0,0
69.5,121,0,79,0,0
70,121,0,79,0,0
70.5,121,0,79,0,0
71,121,0,79,0,0
71.5,121,0,79,0,0
72,121,0,79,0,0
72.5,121,0,79,0,0
73,121,0,79,0,0
73.5,121,0,79,0,0
74,121,0,79,0,0
74.5,121,0,79,0,0
75,121,0,79,0,0
75.5,121,0,79,0,0
76,121,0,79,0,0
76.5,121,0,79,0,0
77,121,0,79,0,0
77.5,121,0,79,0,0
78,121,0,79,0,0
78.5,121,0,79,0,0
79,121,0,79,0,0
79.5,121,0,79,0,0
80,121,0,79,0,0
