"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,942,57,1,38,1
1,827,169,4,115,3
1.5,555,433,12,272,8
2,169,807,24,386,12
2.5,22,920,58,147,34
3,2,903,95,20,37
3.5,0,871,129,2,34
4,0,851,149,0,20
4.5,0,817,183,0,34
5,0,785,215,0,32
5.5,0,753,247,0,32
6,0,717,283,0,36
6.5,0,691,309,0,26
7,0,667,333,0,24
7.5,0,641,359,0,26
8,0,620,380,0,21
8.5,0,587,413,0,33
9,0,570,430,0,17
9.5,0,553,447,0,17
10,0,538,462,0,15
10.5,0,522,478,0,16
11,0,503,497,0,19
11.5,0,474,526,0,29
12,0,458,542,0,16
12.5,0,438,562,0,20
13,0,422,578,0,16
13.5,0,413,587,0,9
14,0,392,608,0,21
14.5,0,371,629,0,21
15,0,345,655,0,26
15.5,0,328,672,0,17
16,0,314,686,0,14
16.5,0,307,693,0,7
17,0,300,700,0,7
17.5,0,291,709,0,9
18,0,283,717,0,8
18.5,0,268,732,0,15
19,0,259,741,0,9
19.5,0,248,752,0,11
20,0,238,762,0,10
20.5,0,226,774,0,12
21,0,216,784,0,10
21.5,0,210,790,0,6
22,0,201,799,0,9
22.5,0,193,807,0,8
23,0,182,818,0,11
23.5,0,174,826,0,8
24,0,164,836,0,10
24.5,0,157,843,0,7
25,0,150,850,0,7
25.5,0,146,854,0,4
26,0,138,862,0,8
26.5,0,132,868,0,6
27,0,128,872,0,4
27.5,0,124,876,0,4
28,0,120,880,0,4
28.5,0,114,886,0,6
29,0,111,889,0,3
29.5,0,110,890,0,1
30,0,105,895,0,5
30.5,0,102,898,0,3
31,0,98,902,0,4
31.5,0,94,906,0,4
32,0,92,908,0,2
32.5,0,88,912,0,4
33,0,85,915,0,3
33.5,0,83,917,0,2
34,0,80,920,0,3
34.5,0,75,925,0,5
35,0,74,926,0,1
35.5,0,72,928,0,2
36,0,70,930,0,2
36.5,0,66,934,0,4
37,0,62,938,0,4
37.5,0,60,940,0,2
38,0,57,943,0,3
38.5,0,53,947,0,4
39,0,50,950,0,3
39.5,0,47,953,0,3
40,0,44,956,0,3
40.5,0,43,957,0,1
41,0,42,958,0,1
41.5,0,41,959,0,1
42,0,39,961,0,2
42.5,0,39,961,0,0
43,0,36,964,0,3
43.5,0,34,966,0,2
44,0,31,969,0,3
44.5,0,29,971,0,2
45,0,28,972,0,1
45.5,0,27,973,0,1
46,0,27,973,0,0
46.5,0,27,973,0,0
47,0,27,973,0,0
47.5,0,27,973,0,0
48,0,27,973,0,0
48.5,0,26,974,0,1
49,0,23,977,0,3
49.5,0,23,977,0,0
50,0,22,978,0,1
50.5,0,22,978,0,0
51,0,20,980,0,2
51.5,0,18,982,0,2
52,0,17,983,0,1
52.5,0,16,984,0,1
53,0,15,985,0,1
53.5,0,15,985,0,0
54,0,15,985,0,0
54.5,0,15,985,0,0
55,0,15,985,0,0
55.5,0,14,986,0,1
56,0,12,988,0,2
56.5,0,11,989,0,1
57,0,11,989,0,0
57.5,0,11,989,0,0
58,0,10,990,0,1
58.5,0,10,990,0,0
59,0,9,991,0,1
59.5,0,8,992,0,1
60,0,8,992,0,0
60.5,0,8,992,0,0
61,0,8,992,0,0
61.5,0,8,992,0,0
62,0,8,992,0,0
62.5,0,6,994,0,2
63,0,6,994,0,0
63.5,0,6,994,0,0
64,0,6,994,0,0
64.5,0,6,994,0,0
65,0,6,994,0,0
65.5,0,6,994,0,0
66,0,6,994,0,0
66.5,0,6,994,0,0
67,0,6,994,0,0
67.5,0,4,996,0,2
68,0,4,996,0,0
68.5,0,4,996,0,0
69,0,4,996,0,0
69.5,0,3,997,0,1
70,0,3,997,0,0
70.5,0,3,997,0,0
71,0,2,998,0,1
71.5,0,2,998,0,0
72,0,1,999,0,1
72.5,0,1,999,0,0
73,0,1,999,0,0
73.5,0,1,999,0,0
74,0,1,999,0,0
74.5,0,1,999,0,0
75,0,1,999,0,0
75.5,0,1,999,0,0
76,0,1,999,0,0
76.5,0,1,999,0,0
77,0,1,999,0,0
77.5,0,1,999,0,0
78,0,1,999,0,0
78.5,0,1,999,0,0
79,0,1,999,0,0
79.5,0,1,999,0,0
80,0,0,1000,0,1
