"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,196,4,0,0,0
1,196,4,0,0,0
1.5,196,4,0,0,0
2,195,5,0,1,0
2.5,193,7,0,2,0
3,193,7,0,0,0
3.5,193,6,1,0,1
4,193,5,2,0,1
4.5,193,4,3,0,1
5,193,4,3,0,0
5.5,193,4,3,0,0
6,193,4,3,0,0
6.5,193,4,3,0,0
7,193,4,3,0,0
7.5,192,5,3,1,0
8,192,5,3,0,0
8.5,192,5,3,0,0
9,192,5,3,0,0
9.5,192,5,3,0,0
10,192,5,3,0,0
10.5,192,5,3,0,0
11,191,6,3,1,0
11.5,191,6,3,0,0
12,190,7,3,1,0
12.5,188,9,3,2,0
13,188,9,3,0,0
13.5,188,9,3,0,0
14,188,8,4,0,1
14.5,188,8,4,0,0
15,187,8,5,1,1
15.5,187,8,5,0,0
16,186,9,5,1,0
16.5,185,10,5,1,0
17,185,10,5,0,0
17.5,184,9,7,1,2
18,182,11,7,2,0
18.5,181,11,8,1,1
19,180,12,8,1,0
19.5,177,14,9,3,1
20,177,14,9,0,0
20.5,177,14,9,0,0
21,175,15,10,2,1
21.5,175,15,10,0,0
22,175,15,10,0,0
22.5,173,16,11,2,1
23,172,17,11,1,0
23.5,171,17,12,1,1
24,171,13,16,0,4
24.5,171,13,16,0,0
25,171,13,16,0,0
25.5,171,12,17,0,1
26,170,12,18,1,1
26.5,170,12,18,0,0
27,170,11,19,0,1
27.5,169,11,20,1,1
28,169,11,20,0,0
28.5,165,14,21,4,1
29,165,13,22,0,1
29.5,165,13,22,0,0
30,164,13,23,1,1
30.5,162,14,24,2,1
31,161,15,24,1,0
31.5,160,16,24,1,0
32,159,17,24,1,0
32.5,156,20,24,3,0
33,154,21,25,2,1
33.5,154,20,26,0,1
34,153,20,27,1,1
34.5,152,20,28,1,1
35,149,22,29,3,1
35.5,147,22,31,2,2
36,147,21,32,0,1
36.5,143,24,33,4,1
37,142,25,33,1,0
37.5,141,25,34,1,1
38,139,26,35,2,1
38.5,139,26,35,0,0
39,136,29,35,3,0
39.5,135,27,38,1,3
40,134,28,38,1,0
40.5,132,27,41,2,3
41,131,27,42,1,1
41.5,130,26,44,1,2
42,129,24,47,1,3
42.5,125,26,49,4,2
43,125,24,51,0,2
43.5,125,21,54,0,3
44,122,22,56,3,2
44.5,122,22,56,0,0
45,121,23,56,1,0
45.5,120,21,59,1,3
46,119,19,62,1,3
46.5,119,17,64,0,2
47,118,18,64,1,0
47.5,118,17,65,0,1
48,117,16,67,1,2
48.5,116,17,67,1,0
49,115,18,67,1,0
49.5,114,19,67,1,0
50,114,17,69,0,2
50.5,113,18,69,1,0
51,113,16,71,0,2
51.5,112,16,72,1,1
52,112,15,73,0,1
52.5,112,14,74,0,1
53,112,13,75,0,1
53.5,112,13,75,0,0
54,111,12,77,1,2
54.5,111,12,77,0,0
55,111,12,77,0,0
55.5,111,11,78,0,1
56,111,11,78,0,0
56.5,111,11,78,0,0
57,111,11,78,0,0
57.5,110,11,79,1,1
58,110,11,79,0,0
58.5,109,12,79,1,0
59,109,12,79,0,0
59.5,108,12,80,1,1
60,107,13,80,1,0
60.5,107,13,80,0,0
61,107,11,82,0,2
61.5,105,13,82,2,0
62,104,12,84,1,2
62.5,104,12,84,0,0
63,103,13,84,1,0
63.5,103,11,86,0,2
64,103,10,87,0,1
64.5,103,10,87,0,0
65,103,9,88,0,1
65.5,103,9,88,0,0
66,103,8,89,0,1
66.5,103,8,89,0,0
67,102,8,90,1,1
67.5,101,9,90,1,0
68,99,9,92,2,2
68.5,98,10,92,1,0
69,98,9,93,0,1
69.5,98,9,93,0,0
70,98,9,93,0,0
70.5,98,9,93,0,0
71,98,5,97,0,4
71.5,98,5,97,0,0
72,98,5,97,0,0
72.5,97,5,98,1,1
73,97,5,98,0,0
73.5,97,5,98,0,0
74,97,4,99,0,1
74.5,97,4,99,0,0
75,97,4,99,0,0
75.5,97,3,100,0,1
76,97,3,100,0,0
76.5,97,3,100,0,0
77,97,3,100,0,0
77.5,97,3,100,0,0
78,97,2,101,0,1
78.5,97,2,101,0,0
79,97,2,101,0,0
79.5,97,2,101,0,0
80,97,2,101,0,0
