"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,973,25,2,7,2
1,956,40,4,17,2
1.5,930,63,7,26,3
2,896,93,11,34,4
2.5,864,115,21,32,10
3,822,146,32,42,11
3.5,783,176,41,39,9
4,729,218,53,54,12
4.5,658,271,71,71,18
5,592,322,86,66,15
5.5,496,387,117,96,31
6,422,434,144,74,27
6.5,357,473,170,65,26
7,297,507,196,60,26
7.5,233,527,240,64,44
8,184,541,275,49,35
8.5,149,533,318,35,43
9,117,524,359,32,41
9.5,94,503,403,23,44
10,74,476,450,20,47
10.5,60,458,482,14,32
11,49,439,512,11,30
11.5,44,407,549,5,37
12,39,387,574,5,25
12.5,31,364,605,8,31
13,23,343,634,8,29
13.5,23,318,659,0,25
14,19,307,674,4,15
14.5,18,277,705,1,31
15,15,264,721,3,16
15.5,15,251,734,0,13
16,15,233,752,0,18
16.5,14,215,771,1,19
17,12,205,783,2,12
17.5,12,191,797,0,14
18,11,174,815,1,18
18.5,11,162,827,0,12
19,9,153,838,2,11
19.5,9,144,847,0,9
20,9,134,857,0,10
20.5,8,129,863,1,6
21,8,122,870,0,7
21.5,7,117,876,1,6
22,7,108,885,0,9
22.5,6,103,891,1,6
23,6,91,903,0,12
23.5,5,85,910,1,7
24,4,78,918,1,8
24.5,4,73,923,0,5
25,4,67,929,0,6
25.5,4,62,934,0,5
26,4,57,939,0,5
26.5,4,51,945,0,6
27,4,48,948,0,3
27.5,4,44,952,0,4
28,4,41,955,0,3
28.5,4,39,957,0,2
29,4,37,959,0,2
29.5,4,32,964,0,5
30,4,29,967,0,3
30.5,4,28,968,0,1
31,4,27,969,0,1
31.5,4,23,973,0,4
32,4,22,974,0,1
32.5,4,22,974,0,0
33,4,21,975,0,1
33.5,3,22,975,1,0
34,3,20,977,0,2
34.5,3,20,977,0,0
35,3,20,977,0,0
35.5,3,17,980,0,3
36,3,17,980,0,0
36.5,3,16,981,0,1
37,3,15,982,0,1
37.5,3,15,982,0,0
38,3,14,983,0,1
38.5,3,14,983,0,0
39,3,11,986,0,3
39.5,3,10,987,0,1
40,3,9,988,0,1
40.5,3,9,988,0,0
41,3,8,989,0,1
41.5,3,8,989,0,0
42,3,5,992,0,3
42.5,3,5,992,0,0
43,3,5,992,0,0
43.5,3,5,992,0,0
44,3,4,993,0,1
44.5,3,4,993,0,0
45,3,3,994,0,1
45.5,3,3,994,0,0
46,3,2,995,0,1
46.5,3,1,996,0,1
47,3,1,996,0,0
47.5,3,1,996,0,0
48,3,1,996,0,0
48.5,3,1,996,0,0
49,3,1,996,0,0
49.5,3,1,996,0,0
50,3,1,996,0,0
50.5,3,1,996,0,0
51,3,0,997,0,1
51.5,3,0,997,0,0
52,3,0,997,0,0
52.5,3,0,997,0,0
53,3,0,997,0,0
53.5,3,0,997,0,0
54,3,0,997,0,0
54.5,3,0,997,0,0
55,3,0,997,0,0
55.5,3,0,997,0,0
56,3,0,997,0,0
56.5,3,0,997,0,0
57,3,0,997,0,0
57.5,3,0,997,0,0
58,3,0,997,0,0
58.5,3,0,997,0,0
59,3,0,997,0,0
59.5,3,0,997,0,0
60,3,0,997,0,0
60.5,3,0,997,0,0
61,3,0,997,0,0
61.5,3,0,997,0,0
62,3,0,997,0,0
62.5,3,0,997,0,0
63,3,0,997,0,0
63.5,3,0,997,0,0
64,3,0,997,0,0
64.5,3,0,997,0,0
65,3,0,997,0,0
65.5,3,0,997,0,0
66,3,0,997,0,0
66.5,3,0,997,0,0
67,3,0,997,0,0
67.5,3,0,997,0,0
68,3,0,997,0,0
68.5,3,0,997,0,0
69,3,0,997,0,0
69.5,3,0,997,0,0
70,3,0,997,0,0
70.5,3,0,997,0,0
71,3,0,997,0,0
71.5,3,0,997,0,0
72,3,0,997,0,0
72.5,3,0,997,0,0
73,3,0,997,0,0
73.5,3,0,997,0,0
74,3,0,997,0,0
74.5,3,0,997,0,0
75,3,0,997,0,0
75.5,3,0,997,0,0
76,3,0,997,0,0
76.5,3,0,997,0,0
77,3,0,997,0,0
77.5,3,0,997,0,0
78,3,0,997,0,0
78.5,3,0,997,0,0
79,3,0,997,0,0
79.5,3,0,997,0,0
80,3,0,997,0,0
