"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,975,23,2,5,2
1,968,29,3,7,1
1.5,957,38,5,11,2
2,948,46,6,9,1
2.5,931,60,9,17,3
3,910,78,12,21,3
3.5,883,101,16,27,4
4,843,139,18,40,2
4.5,797,183,20,46,2
5,743,230,27,54,7
5.5,676,287,37,67,10
6,608,343,49,68,12
6.5,538,400,62,70,13
7,471,450,79,67,17
7.5,391,507,102,80,23
8,317,564,119,74,17
8.5,258,591,151,59,32
9,204,610,186,54,35
9.5,151,637,212,53,26
10,119,631,250,32,38
10.5,91,633,276,28,26
11,69,617,314,22,38
11.5,55,603,342,14,28
12,42,582,376,13,34
12.5,33,564,403,9,27
13,31,530,439,2,36
13.5,23,516,461,8,22
14,19,493,488,4,27
14.5,13,485,502,6,14
15,12,463,525,1,23
15.5,9,438,553,3,28
16,8,420,572,1,19
16.5,7,405,588,1,16
17,6,383,611,1,23
17.5,5,369,626,1,15
18,4,351,645,1,19
18.5,4,341,655,0,10
19,4,330,666,0,11
19.5,4,316,680,0,14
20,4,305,691,0,11
20.5,4,285,711,0,20
21,3,269,728,1,17
21.5,3,259,738,0,10
22,3,244,753,0,15
22.5,2,230,768,1,15
23,2,218,780,0,12
23.5,2,206,792,0,12
24,2,192,806,0,14
24.5,2,184,814,0,8
25,2,176,822,0,8
25.5,2,165,833,0,11
26,2,160,838,0,5
26.5,2,152,846,0,8
27,2,145,853,0,7
27.5,2,137,861,0,8
28,2,128,870,0,9
28.5,2,121,877,0,7
29,2,115,883,0,6
29.5,2,108,890,0,7
30,2,100,898,0,8
30.5,2,94,904,0,6
31,2,91,907,0,3
31.5,2,87,911,0,4
32,2,79,919,0,8
32.5,2,76,922,0,3
33,2,71,927,0,5
33.5,2,65,933,0,6
34,2,61,937,0,4
34.5,2,58,940,0,3
35,2,55,943,0,3
35.5,2,54,944,0,1
36,2,51,947,0,3
36.5,2,50,948,0,1
37,2,49,949,0,1
37.5,2,48,950,0,1
38,2,47,951,0,1
38.5,2,43,955,0,4
39,2,42,956,0,1
39.5,2,40,958,0,2
40,2,39,959,0,1
40.5,2,36,962,0,3
41,2,33,965,0,3
41.5,2,32,966,0,1
42,2,30,968,0,2
42.5,2,29,969,0,1
43,2,26,972,0,3
43.5,2,24,974,0,2
44,2,22,976,0,2
44.5,2,20,978,0,2
45,2,19,979,0,1
45.5,2,19,979,0,0
46,2,19,979,0,0
46.5,2,18,980,0,1
47,2,18,980,0,0
47.5,2,18,980,0,0
48,2,18,980,0,0
48.5,2,15,983,0,3
49,2,15,983,0,0
49.5,2,15,983,0,0
50,2,14,984,0,1
50.5,2,13,985,0,1
51,2,12,986,0,1
51.5,2,12,986,0,0
52,2,12,986,0,0
52.5,2,11,987,0,1
53,2,10,988,0,1
53.5,2,10,988,0,0
54,2,9,989,0,1
54.5,2,9,989,0,0
55,2,8,990,0,1
55.5,2,8,990,0,0
56,2,8,990,0,0
56.5,2,7,991,0,1
57,2,6,992,0,1
57.5,2,6,992,0,0
58,2,5,993,0,1
58.5,2,5,993,0,0
59,2,5,993,0,0
59.5,2,5,993,0,0
60,2,4,994,0,1
60.5,2,4,994,0,0
61,2,4,994,0,0
61.5,2,4,994,0,0
62,2,4,994,0,0
62.5,2,4,994,0,0
63,2,4,994,0,0
63.5,2,4,994,0,0
64,1,4,995,1,1
64.5,1,4,995,0,0
65,1,4,995,0,0
65.5,1,4,995,0,0
66,1,3,996,0,1
66.5,1,3,996,0,0
67,1,3,996,0,0
67.5,1,1,998,0,2
68,1,1,998,0,0
68.5,1,1,998,0,0
69,1,1,998,0,0
69.5,1,1,998,0,0
70,1,1,998,0,0
70.5,1,1,998,0,0
71,1,1,998,0,0
71.5,1,0,999,0,1
72,1,0,999,0,0
72.5,1,0,999,0,0
73,1,0,999,0,0
73.5,1,0,999,0,0
74,1,0,999,0,0
74.5,1,0,999,0,0
75,1,0,999,0,0
75.5,1,0,999,0,0
76,1,0,999,0,0
76.5,1,0,999,0,0
77,1,0,999,0,0
77.5,1,0,999,0,0
78,1,0,999,0,0
78.5,1,0,999,0,0
79,1,0,999,0,0
79.5,1,0,999,0,0
80,1,0,999,0,0
