"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,977,22,1,3,1
1,972,26,2,5,1
1.5,968,26,6,4,4
2,966,25,9,2,3
2.5,965,26,9,1,0
3,963,26,11,2,2
3.5,958,29,13,5,2
4,955,30,15,3,2
4.5,953,31,16,2,1
5,947,34,19,6,3
5.5,938,43,19,9,0
6,929,47,24,9,5
6.5,924,45,31,5,7
7,914,49,37,10,6
7.5,909,53,38,5,1
8,905,53,42,4,4
8.5,899,57,44,6,2
9,894,57,49,5,5
9.5,889,57,54,5,5
10,884,57,59,5,5
10.5,877,61,62,7,3
11,869,67,64,8,2
11.5,861,70,69,8,5
12,851,75,74,10,5
12.5,845,78,77,6,3
13,837,79,84,8,7
13.5,832,80,88,5,4
14,825,84,91,7,3
14.5,821,84,95,4,4
15,814,89,97,7,2
15.5,803,97,100,11,3
16,795,100,105,8,5
16.5,777,109,114,18,9
17,764,116,120,13,6
17.5,757,110,133,7,13
18,745,113,142,12,9
18.5,736,117,147,9,5
19,729,117,154,7,7
19.5,722,120,158,7,4
20,714,120,166,8,8
20.5,700,125,175,14,9
21,691,125,184,9,9
21.5,682,127,191,9,7
22,674,126,200,8,9
22.5,666,127,207,8,7
23,658,124,218,8,11
23.5,648,127,225,10,7
24,640,127,233,8,8
24.5,632,125,243,8,10
25,624,125,251,8,8
25.5,614,126,260,10,9
26,605,125,270,9,10
26.5,598,120,282,7,12
27,585,120,295,13,13
27.5,581,112,307,4,12
28,575,115,310,6,3
28.5,561,121,318,14,8
29,553,119,328,8,10
29.5,546,118,336,7,8
30,540,116,344,6,8
30.5,535,112,353,5,9
31,529,109,362,6,9
31.5,522,107,371,7,9
32,517,109,374,5,3
32.5,511,111,378,6,4
33,508,105,387,3,9
33.5,506,101,393,2,6
34,505,97,398,1,5
34.5,500,93,407,5,9
35,499,89,412,1,5
35.5,497,84,419,2,7
36,494,82,424,3,5
36.5,491,77,432,3,8
37,486,75,439,5,7
37.5,478,78,444,8,5
38,474,76,450,4,6
38.5,470,74,456,4,6
39,466,74,460,4,4
39.5,462,73,465,4,5
40,457,69,474,5,9
40.5,454,71,475,3,1
41,452,69,479,2,4
41.5,449,66,485,3,6
42,448,61,491,1,6
42.5,444,57,499,4,8
43,442,55,503,2,4
43.5,440,53,507,2,4
44,431,57,512,9,5
44.5,425,56,519,6,7
45,423,57,520,2,1
45.5,417,58,525,6,5
46,415,55,530,2,5
46.5,413,53,534,2,4
47,413,49,538,0,4
47.5,412,46,542,1,4
48,411,42,547,1,5
48.5,410,39,551,1,4
49,408,37,555,2,4
49.5,404,41,555,4,0
50,403,39,558,1,3
50.5,402,38,560,1,2
51,400,38,562,2,2
51.5,400,36,564,0,2
52,399,35,566,1,2
52.5,398,34,568,1,2
53,396,32,572,2,4
53.5,395,32,573,1,1
54,392,32,576,3,3
54.5,392,31,577,0,1
55,392,30,578,0,1
55.5,391,28,581,1,3
56,391,24,585,0,4
56.5,389,22,589,2,4
57,388,22,590,1,1
57.5,387,19,594,1,4
58,386,18,596,1,2
58.5,386,17,597,0,1
59,386,16,598,0,1
59.5,386,15,599,0,1
60,385,16,599,1,0
60.5,385,14,601,0,2
61,385,13,602,0,1
61.5,384,10,606,1,4
62,384,9,607,0,1
62.5,384,9,607,0,0
63,384,8,608,0,1
63.5,384,8,608,0,0
64,384,8,608,0,0
64.5,384,5,611,0,3
65,384,5,611,0,0
65.5,384,4,612,0,1
66,384,3,613,0,1
66.5,384,3,613,0,0
67,384,3,613,0,0
67.5,384,3,613,0,0
68,384,2,614,0,1
68.5,384,2,614,0,0
69,384,2,614,0,0
69.5,384,2,614,0,0
70,384,2,614,0,0
70.5,384,2,614,0,0
71,384,2,614,0,0
71.5,384,1,615,0,1
72,383,2,615,1,0
72.5,383,1,616,0,1
73,383,1,616,0,0
73.5,383,1,616,0,0
74,383,1,616,0,0
74.5,383,1,616,0,0
75,383,1,616,0,0
75.5,383,1,616,0,0
76,383,1,616,0,0
76.5,383,1,616,0,0
77,383,1,616,0,0
77.5,383,1,616,0,0
78,383,0,617,0,1
78.5,383,0,617,0,0
79,383,0,617,0,0
79.5,383,0,617,0,0
80,383,0,617,0,0
