"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,195,5,0,1,0
1,194,6,0,1,0
1.5,194,5,1,0,1
2,194,5,1,0,0
2.5,194,5,1,0,0
3,192,7,1,2,0
3.5,190,9,1,2,0
4,189,9,2,1,1
4.5,188,10,2,1,0
5,187,10,3,1,1
5.5,186,10,4,1,1
6,184,12,4,2,0
6.5,183,13,4,1,0
7,181,14,5,2,1
7.5,180,15,5,1,0
8,174,19,7,6,2
8.5,172,20,8,2,1
9,165,25,10,7,2
9.5,164,23,13,1,3
10,162,24,14,2,1
10.5,159,26,15,3,1
11,155,29,16,4,1
11.5,149,31,20,6,4
12,146,32,22,3,2
12.5,145,32,23,1,1
13,143,33,24,2,1
13.5,142,33,25,1,1
14,140,35,25,2,0
14.5,138,36,26,2,1
15,135,36,29,3,3
15.5,130,40,30,5,1
16,127,39,34,3,4
16.5,124,42,34,3,0
17,123,42,35,1,1
17.5,122,42,36,1,1
18,118,42,40,4,4
18.5,116,43,41,2,1
19,116,39,45,0,4
19.5,114,36,50,2,5
20,111,35,54,3,4
20.5,109,34,57,2,3
21,107,35,58,2,1
21.5,106,31,63,1,5
22,105,30,65,1,2
22.5,104,28,68,1,3
23,103,29,68,1,0
23.5,103,27,70,0,2
24,102,27,71,1,1
24.5,102,26,72,0,1
25,101,23,76,1,4
25.5,100,23,77,1,1
26,99,24,77,1,0
26.5,99,24,77,0,0
27,98,24,78,1,1
27.5,97,23,80,1,2
28,93,24,83,4,3
28.5,92,21,87,1,4
29,92,19,89,0,2
29.5,92,17,91,0,2
30,91,17,92,1,1
30.5,89,19,92,2,0
31,86,21,93,3,1
31.5,85,22,93,1,0
32,84,22,94,1,1
32.5,84,21,95,0,1
33,82,23,95,2,0
33.5,81,23,96,1,1
34,81,21,98,0,2
34.5,79,22,99,2,1
35,78,22,100,1,1
35.5,76,24,100,2,0
36,76,23,101,0,1
36.5,74,21,105,2,4
37,74,17,109,0,4
37.5,73,16,111,1,2
38,73,14,113,0,2
38.5,73,13,114,0,1
39,73,13,114,0,0
39.5,72,14,114,1,0
40,72,14,114,0,0
40.5,71,13,116,1,2
41,70,12,118,1,2
41.5,70,11,119,0,1
42,70,11,119,0,0
42.5,69,12,119,1,0
43,69,11,120,0,1
43.5,69,10,121,0,1
44,69,10,121,0,0
44.5,69,10,121,0,0
45,69,10,121,0,0
45.5,69,9,122,0,1
46,68,10,122,1,0
46.5,68,7,125,0,3
47,68,6,126,0,1
47.5,68,6,126,0,0
48,68,6,126,0,0
48.5,68,5,127,0,1
49,67,6,127,1,0
49.5,67,6,127,0,0
50,67,5,128,0,1
50.5,67,5,128,0,0
51,67,4,129,0,1
51.5,67,4,129,0,0
52,67,3,130,0,1
52.5,67,3,130,0,0
53,67,1,132,0,2
53.5,67,1,132,0,0
54,67,0,133,0,1
54.5,67,0,133,0,0
55,67,0,133,0,0
55.5,67,0,133,0,0
56,67,0,133,0,0
56.5,67,0,133,0,0
57,67,0,133,0,0
57.5,67,0,133,0,0
58,67,0,133,0,0
58.5,67,0,133,0,0
59,67,0,133,0,0
59.5,67,0,133,0,0
60,67,0,133,0,0
60.5,67,0,133,0,0
61,67,0,133,0,0
61.5,67,0,133,0,0
62,67,0,133,0,0
62.5,67,0,133,0,0
63,67,0,133,0,0
63.5,67,0,133,0,0
64,67,0,133,0,0
64.5,67,0,133,0,0
65,67,0,133,0,0
65.5,67,0,133,0,0
66,67,0,133,0,0
66.5,67,0,133,0,0
67,67,0,133,0,0
67.5,67,0,133,0,0
68,67,0,133,0,0
68.5,67,0,133,0,0
69,67,0,133,0,0
69.5,67,0,133,0,0
70,67,0,133,0,0
70.5,67,0,133,0,0
71,67,0,133,0,0
71.5,67,0,133,0,0
72,67,0,133,0,0
72.5,67,0,133,0,0
73,67,0,133,0,0
73.5,67,0,133,0,0
74,67,0,133,0,0
74.5,67,0,133,0,0
75,67,0,133,0,0
75.5,67,0,133,0,0
76,67,0,133,0,0
76.5,67,0,133,0,0
77,67,0,133,0,0
77.5,67,0,133,0,0
78,67,0,133,0,0
78.5,67,0,133,0,0
79,67,0,133,0,0
79.5,67,0,133,0,0
80,67,0,133,0,0
