"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,196,4,0,0,0
1,194,6,0,2,0
1.5,193,7,0,1,0
2,192,7,1,1,1
2.5,192,7,1,0,0
3,190,9,1,2,0
3.5,190,8,2,0,1
4,190,8,2,0,0
4.5,190,8,2,0,0
5,189,9,2,1,0
5.5,189,9,2,0,0
6,188,9,3,1,1
6.5,187,9,4,1,1
7,187,6,7,0,3
7.5,187,6,7,0,0
8,187,6,7,0,0
8.5,186,7,7,1,0
9,184,9,7,2,0
9.5,183,10,7,1,0
10,183,10,7,0,0
10.5,183,10,7,0,0
11,183,10,7,0,0
11.5,183,10,7,0,0
12,183,10,7,0,0
12.5,183,10,7,0,0
13,182,10,8,1,1
13.5,181,11,8,1,0
14,181,10,9,0,1
14.5,180,11,9,1,0
15,180,11,9,0,0
15.5,179,12,9,1,0
16,179,11,10,0,1
16.5,178,11,11,1,1
17,178,11,11,0,0
17.5,178,10,12,0,1
18,178,9,13,0,1
18.5,178,9,13,0,0
19,177,10,13,1,0
19.5,177,10,13,0,0
20,177,10,13,0,0
20.5,177,10,13,0,0
21,176,11,13,1,0
21.5,175,11,14,1,1
22,172,14,14,3,0
22.5,170,16,14,2,0
23,164,22,14,6,0
23.5,163,23,14,1,0
24,161,23,16,2,2
24.5,161,22,17,0,1
25,158,24,18,3,1
25.5,158,24,18,0,0
26,156,25,19,2,1
26.5,156,24,20,0,1
27,154,26,20,2,0
27.5,151,29,20,3,0
28,150,30,20,1,0
28.5,146,30,24,4,4
29,145,29,26,1,2
29.5,142,31,27,3,1
30,141,31,28,1,1
30.5,140,30,30,1,2
31,137,33,30,3,0
31.5,136,28,36,1,6
32,135,27,38,1,2
32.5,135,27,38,0,0
33,131,26,43,4,5
33.5,130,25,45,1,2
34,126,29,45,4,0
34.5,125,28,47,1,2
35,125,26,49,0,2
35.5,124,25,51,1,2
36,123,26,51,1,0
36.5,122,27,51,1,0
37,121,28,51,1,0
37.5,120,26,54,1,3
38,119,25,56,1,2
38.5,119,22,59,0,3
39,118,21,61,1,2
39.5,115,24,61,3,0
40,113,25,62,2,1
40.5,111,26,63,2,1
41,110,26,64,1,1
41.5,110,26,64,0,0
42,108,25,67,2,3
42.5,105,27,68,3,1
43,105,22,73,0,5
43.5,104,22,74,1,1
44,104,21,75,0,1
44.5,104,20,76,0,1
45,104,20,76,0,0
45.5,103,21,76,1,0
46,102,21,77,1,1
46.5,101,21,78,1,1
47,101,20,79,0,1
47.5,100,21,79,1,0
48,99,21,80,1,1
48.5,99,19,82,0,2
49,99,18,83,0,1
49.5,99,18,83,0,0
50,99,17,84,0,1
50.5,99,16,85,0,1
51,99,14,87,0,2
51.5,99,13,88,0,1
52,98,13,89,1,1
52.5,98,13,89,0,0
53,98,12,90,0,1
53.5,98,12,90,0,0
54,97,13,90,1,0
54.5,97,13,90,0,0
55,97,13,90,0,0
55.5,97,12,91,0,1
56,97,12,91,0,0
56.5,97,12,91,0,0
57,97,11,92,0,1
57.5,97,10,93,0,1
58,96,11,93,1,0
58.5,95,12,93,1,0
59,93,13,94,2,1
59.5,93,13,94,0,0
60,92,13,95,1,1
60.5,92,12,96,0,1
61,92,11,97,0,1
61.5,92,10,98,0,1
62,92,10,98,0,0
62.5,92,10,98,0,0
63,92,10,98,0,0
63.5,92,10,98,0,0
64,91,11,98,1,0
64.5,91,11,98,0,0
65,91,11,98,0,0
65.5,91,11,98,0,0
66,91,11,98,0,0
66.5,91,11,98,0,0
67,91,10,99,0,1
67.5,90,11,99,1,0
68,90,11,99,0,0
68.5,90,9,101,0,2
69,89,9,102,1,1
69.5,89,8,103,0,1
70,88,8,104,1,1
70.5,87,8,105,1,1
71,87,8,105,0,0
71.5,87,8,105,0,0
72,87,8,105,0,0
72.5,86,9,105,1,0
73,86,9,105,0,0
73.5,86,8,106,0,1
74,86,8,106,0,0
74.5,86,8,106,0,0
75,86,8,106,0,0
75.5,86,8,106,0,0
76,86,7,107,0,1
76.5,86,7,107,0,0
77,85,8,107,1,0
77.5,85,7,108,0,1
78,85,7,108,0,0
78.5,85,5,110,0,2
79,85,5,110,0,0
79.5,85,3,112,0,2
80,85,3,112,0,0
