"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,194,6,0,2,0
1,192,8,0,2,0
1.5,186,14,0,6,0
2,181,18,1,5,1
2.5,172,27,1,9,0
3,162,34,4,10,3
3.5,148,46,6,14,2
4,135,57,8,13,2
4.5,123,66,11,12,3
5,105,80,15,18,4
5.5,94,87,19,11,4
6,78,99,23,16,4
6.5,69,103,28,9,5
7,62,105,33,7,5
7.5,52,109,39,10,6
8,43,113,44,9,5
8.5,31,118,51,12,7
9,25,121,54,6,3
9.5,20,124,56,5,2
10,15,126,59,5,3
10.5,12,125,63,3,4
11,7,123,70,5,7
11.5,5,116,79,2,9
12,5,111,84,0,5
12.5,4,106,90,1,6
13,3,103,94,1,4
13.5,3,91,106,0,12
14,3,87,110,0,4
14.5,3,84,113,0,3
15,3,82,115,0,2
15.5,3,78,119,0,4
16,2,75,123,1,4
16.5,2,72,126,0,3
17,2,71,127,0,1
17.5,2,68,130,0,3
18,2,66,132,0,2
18.5,2,65,133,0,1
19,2,59,139,0,6
19.5,2,56,142,0,3
20,2,53,145,0,3
20.5,2,51,147,0,2
21,1,50,149,1,2
21.5,1,47,152,0,3
22,0,46,154,1,2
22.5,0,45,155,0,1
23,0,37,163,0,8
23.5,0,36,164,0,1
24,0,32,168,0,4
24.5,0,32,168,0,0
25,0,29,171,0,3
25.5,0,29,171,0,0
26,0,28,172,0,1
26.5,0,26,174,0,2
27,0,24,176,0,2
27.5,0,21,179,0,3
28,0,19,181,0,2
28.5,0,18,182,0,1
29,0,17,183,0,1
29.5,0,16,184,0,1
30,0,15,185,0,1
30.5,0,15,185,0,0
31,0,15,185,0,0
31.5,0,15,185,0,0
32,0,15,185,0,0
32.5,0,14,186,0,1
33,0,13,187,0,1
33.5,0,13,187,0,0
34,0,13,187,0,0
34.5,0,13,187,0,0
35,0,13,187,0,0
35.5,0,12,188,0,1
36,0,12,188,0,0
36.5,0,10,190,0,2
37,0,10,190,0,0
37.5,0,9,191,0,1
38,0,8,192,0,1
38.5,0,8,192,0,0
39,0,8,192,0,0
39.5,0,8,192,0,0
40,0,8,192,0,0
40.5,0,8,192,0,0
41,0,8,192,0,0
41.5,0,8,192,0,0
42,0,8,192,0,0
42.5,0,7,193,0,1
43,0,6,194,0,1
43.5,0,6,194,0,0
44,0,5,195,0,1
44.5,0,5,195,0,0
45,0,5,195,0,0
45.5,0,4,196,0,1
46,0,3,197,0,1
46.5,0,2,198,0,1
47,0,2,198,0,0
47.5,0,2,198,0,0
48,0,2,198,0,0
48.5,0,2,198,0,0
49,0,2,198,0,0
49.5,0,2,198,0,0
50,0,2,198,0,0
50.5,0,2,198,0,0
51,0,2,198,0,0
51.5,0,2,198,0,0
52,0,2,198,0,0
52.5,0,2,198,0,0
53,0,2,198,0,0
53.5,0,2,198,0,0
54,0,2,198,0,0
54.5,0,1,199,0,1
55,0,1,199,0,0
55.5,0,1,199,0,0
56,0,1,199,0,0
56.5,0,1,199,0,0
57,0,1,199,0,0
57.5,0,1,199,0,0
58,0,1,199,0,0
58.5,0,1,199,0,0
59,0,1,199,0,0
59.5,0,1,199,0,0
60,0,1,199,0,0
60.5,0,1,199,0,0
61,0,1,199,0,0
61.5,0,1,199,0,0
62,0,1,199,0,0
62.5,0,1,199,0,0
63,0,1,199,0,0
63.5,0,1,199,0,0
64,0,1,199,0,0
64.5,0,1,199,0,0
65,0,1,199,0,0
65.5,0,1,199,0,0
66,0,1,199,0,0
66.5,0,1,199,0,0
67,0,1,199,0,0
67.5,0,1,199,0,0
68,0,1,199,0,0
68.5,0,1,199,0,0
69,0,1,199,0,0
69.5,0,1,199,0,0
70,0,0,200,0,1
70.5,0,0,200,0,0
71,0,0,200,0,0
71.5,0,0,200,0,0
72,0,0,200,0,0
72.5,0,0,200,0,0
73,0,0,200,0,0
73.5,0,0,200,0,0
74,0,0,200,0,0
74.5,0,0,200,0,0
75,0,0,200,0,0
75.5,0,0,200,0,0
76,0,0,200,0,0
76.5,0,0,200,0,0
77,0,0,200,0,0
77.5,0,0,200,0,0
78,0,0,200,0,0
78.5,0,0,200,0,0
79,0,0,200,0,0
79.5,0,0,200,0,0
80,0,0,200,0,0
