"time","S","I","R","new_I","new_R"
0,49,1,0,1,0
0.5,49,1,0,0,0
1,49,1,0,0,0
1.5,49,1,0,0,0
2,49,1,0,0,0
2.5,49,1,0,0,0
3,49,1,0,0,0
3.5,49,1,0,0,0
4,49,1,0,0,0
4.5,49,1,0,0,0
5,49,1,0,0,0
5.5,49,1,0,0,0
6,49,1,0,0,0
6.5,49,1,0,0,0
7,49,1,0,0,0
7.5,48,2,0,1,0
8,48,2,0,0,0
8.5,48,2,0,0,0
9,48,2,0,0,0
9.5,47,3,0,1,0
10,47,3,0,0,0
10.5,47,3,0,0,0
11,47,3,0,0,0
11.5,47,3,0,0,0
12,47,3,0,0,0
12.5,47,3,0,0,0
13,47,3,0,0,0
13.5,47,3,0,0,0
14,46,4,0,1,0
14.5,45,5,0,1,0
15,45,5,0,0,0
15.5,44,6,0,1,0
16,44,6,0,0,0
16.5,43,7,0,1,0
17,43,7,0,0,0
17.5,43,7,0,0,0
18,41,9,0,2,0
18.5,41,9,0,0,0
19,41,8,1,0,1
19.5,39,10,1,2,0
20,39,10,1,0,0
20.5,37,11,2,2,1
21,36,12,2,1,0
21.5,33,14,3,3,1
22,32,15,3,1,0
22.5,31,16,3,1,0
23,28,19,3,3,0
23.5,28,19,3,0,0
24,26,18,6,2,3
24.5,24,20,6,2,0
25,23,20,7,1,1
25.5,20,22,8,3,1
26,19,23,8,1,0
26.5,19,22,9,0,1
27,19,22,9,0,0
27.5,14,26,10,5,1
28,14,24,12,0,2
28.5,13,22,15,1,3
29,13,20,17,0,2
29.5,13,20,17,0,0
30,13,20,17,0,0
30.5,11,22,17,2,0
31,10,23,17,1,0
31.5,10,20,20,0,3
32,9,19,22,1,2
32.5,9,19,22,0,0
33,6,21,23,3,1
33.5,6,21,23,0,0
34,6,20,24,0,1
34.5,6,19,25,0,1
35,6,19,25,0,0
35.5,6,18,26,0,1
36,6,18,26,0,0
36.5,6,17,27,0,1
37,5,18,27,1,0
37.5,2,21,27,3,0
38,2,20,28,0,1
38.5,2,20,28,0,0
39,2,20,28,0,0
39.5,2,18,30,0,2
40,2,18,30,0,0
40.5,2,18,30,0,0
41,2,18,30,0,0
41.5,2,17,31,0,1
42,2,17,31,0,0
42.5,2,15,33,0,2
43,2,15,33,0,0
43.5,2,15,33,0,0
44,2,15,33,0,0
44.5,2,15,33,0,0
45,2,13,35,0,2
45.5,2,12,36,0,1
46,2,12,36,0,0
46.5,2,12,36,0,0
47,2,12,36,0,0
47.5,2,12,36,0,0
48,2,12,36,0,0
48.5,2,12,36,0,0
49,2,12,36,0,0
49.5,1,13,36,1,0
50,1,12,37,0,1
50.5,1,11,38,0,1
51,1,11,38,0,0
51.5,1,11,38,0,0
52,1,10,39,0,1
52.5,1,10,39,0,0
53,1,10,39,0,0
53.5,1,10,39,0,0
54,1,10,39,0,0
54.5,1,9,40,0,1
55,1,8,41,0,1
55.5,1,8,41,0,0
56,1,8,41,0,0
56.5,0,9,41,1,0
57,0,8,42,0,1
57.5,0,8,42,0,0
58,0,8,42,0,0
58.5,0,8,42,0,0
59,0,8,42,0,0
59.5,0,8,42,0,0
60,0,8,42,0,0
60.5,0,7,43,0,1
61,0,6,44,0,1
61.5,0,6,44,0,0
62,0,6,44,0,0
62.5,0,6,44,0,0
63,0,6,44,0,0
63.5,0,5,45,0,1
64,0,4,46,0,1
64.5,0,4,46,0,0
65,0,4,46,0,0
65.5,0,3,47,0,1
66,0,3,47,0,0
66.5,0,3,47,0,0
67,0,3,47,0,0
67.5,0,2,48,0,1
68,0,1,49,0,1
68.5,0,1,49,0,0
69,0,1,49,0,0
69.5,0,1,49,0,0
70,0,1,49,0,0
70.5,0,1,49,0,0
71,0,0,50,0,1
71.5,0,0,50,0,0
72,0,0,50,0,0
72.5,0,0,50,0,0
73,0,0,50,0,0
73.5,0,0,50,0,0
74,0,0,50,0,0
74.5,0,0,50,0,0
75,0,0,50,0,0
75.5,0,0,50,0,0
76,0,0,50,0,0
76.5,0,0,50,0,0
77,0,0,50,0,0
77.5,0,0,50,0,0
78,0,0,50,0,0
78.5,0,0,50,0,0
79,0,0,50,0,0
79.5,0,0,50,0,0
80,0,0,50,0,0
