"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,966,33,1,14,1
1,958,41,1,8,0
1.5,946,50,4,12,3
2,930,60,10,16,6
2.5,914,73,13,16,3
3,894,91,15,20,2
3.5,860,123,17,34,2
4,828,149,23,32,6
4.5,792,179,29,36,6
5,739,226,35,53,6
5.5,679,272,49,60,14
6,603,332,65,76,16
6.5,533,387,80,70,15
7,470,426,104,63,24
7.5,386,487,127,84,23
8,319,535,146,67,19
8.5,261,570,169,58,23
9,212,588,200,49,31
9.5,177,595,228,35,28
10,141,597,262,36,34
10.5,111,604,285,30,23
11,88,598,314,23,29
11.5,71,584,345,17,31
12,52,568,380,19,35
12.5,39,557,404,13,24
13,30,540,430,9,26
13.5,27,523,450,3,20
14,21,506,473,6,23
14.5,18,486,496,3,23
15,18,456,526,0,30
15.5,17,432,551,1,25
16,14,414,572,3,21
16.5,13,391,596,1,24
17,12,374,614,1,18
17.5,11,357,632,1,18
18,10,339,651,1,19
18.5,9,316,675,1,24
19,9,298,693,0,18
19.5,9,282,709,0,16
20,8,275,717,1,8
20.5,7,262,731,1,14
21,6,250,744,1,13
21.5,5,242,753,1,9
22,4,231,765,1,12
22.5,4,219,777,0,12
23,4,207,789,0,12
23.5,4,195,801,0,12
24,4,185,811,0,10
24.5,4,173,823,0,12
25,3,163,834,1,11
25.5,3,152,845,0,11
26,3,141,856,0,11
26.5,3,132,865,0,9
27,3,125,872,0,7
27.5,3,121,876,0,4
28,3,117,880,0,4
28.5,3,113,884,0,4
29,2,112,886,1,2
29.5,1,110,889,1,3
30,1,107,892,0,3
30.5,1,103,896,0,4
31,1,98,901,0,5
31.5,1,87,912,0,11
32,1,82,917,0,5
32.5,1,78,921,0,4
33,1,74,925,0,4
33.5,1,71,928,0,3
34,1,69,930,0,2
34.5,1,66,933,0,3
35,1,64,935,0,2
35.5,1,62,937,0,2
36,1,62,937,0,0
36.5,1,58,941,0,4
37,0,53,947,1,6
37.5,0,51,949,0,2
38,0,50,950,0,1
38.5,0,45,955,0,5
39,0,42,958,0,3
39.5,0,39,961,0,3
40,0,37,963,0,2
40.5,0,37,963,0,0
41,0,34,966,0,3
41.5,0,33,967,0,1
42,0,32,968,0,1
42.5,0,30,970,0,2
43,0,27,973,0,3
43.5,0,25,975,0,2
44,0,25,975,0,0
44.5,0,24,976,0,1
45,0,23,977,0,1
45.5,0,20,980,0,3
46,0,19,981,0,1
46.5,0,19,981,0,0
47,0,18,982,0,1
47.5,0,16,984,0,2
48,0,15,985,0,1
48.5,0,15,985,0,0
49,0,15,985,0,0
49.5,0,13,987,0,2
50,0,13,987,0,0
50.5,0,13,987,0,0
51,0,12,988,0,1
51.5,0,12,988,0,0
52,0,12,988,0,0
52.5,0,12,988,0,0
53,0,11,989,0,1
53.5,0,11,989,0,0
54,0,10,990,0,1
54.5,0,10,990,0,0
55,0,9,991,0,1
55.5,0,8,992,0,1
56,0,8,992,0,0
56.5,0,8,992,0,0
57,0,8,992,0,0
57.5,0,8,992,0,0
58,0,7,993,0,1
58.5,0,6,994,0,1
59,0,6,994,0,0
59.5,0,6,994,0,0
60,0,6,994,0,0
60.5,0,6,994,0,0
61,0,6,994,0,0
61.5,0,5,995,0,1
62,0,4,996,0,1
62.5,0,3,997,0,1
63,0,3,997,0,0
63.5,0,3,997,0,0
64,0,2,998,0,1
64.5,0,2,998,0,0
65,0,2,998,0,0
65.5,0,2,998,0,0
66,0,2,998,0,0
66.5,0,2,998,0,0
67,0,2,998,0,0
67.5,0,2,998,0,0
68,0,1,999,0,1
68.5,0,1,999,0,0
69,0,1,999,0,0
69.5,0,1,999,0,0
70,0,1,999,0,0
70.5,0,1,999,0,0
71,0,1,999,0,0
71.5,0,1,999,0,0
72,0,1,999,0,0
72.5,0,1,999,0,0
73,0,1,999,0,0
73.5,0,1,999,0,0
74,0,1,999,0,0
74.5,0,1,999,0,0
75,0,1,999,0,0
75.5,0,1,999,0,0
76,0,1,999,0,0
76.5,0,1,999,0,0
77,0,1,999,0,0
77.5,0,1,999,0,0
78,0,1,999,0,0
78.5,0,1,999,0,0
79,0,1,999,0,0
79.5,0,1,999,0,0
80,0,1,999,0,0
