"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,971,29,0,9,0
1,952,45,3,19,3
1.5,935,54,11,17,8
2,908,78,14,27,3
2.5,880,100,20,28,6
3,854,123,23,26,3
3.5,807,157,36,47,13
4,762,193,45,45,9
4.5,711,230,59,51,14
5,643,281,76,68,17
5.5,569,329,102,74,26
6,492,385,123,77,21
6.5,411,441,148,81,25
7,346,465,189,65,41
7.5,278,491,231,68,42
8,224,500,276,54,45
8.5,175,522,303,49,27
9,123,546,331,52,28
9.5,106,522,372,17,41
10,77,518,405,29,33
10.5,63,510,427,14,22
11,48,490,462,15,35
11.5,38,456,506,10,44
12,30,426,544,8,38
12.5,22,400,578,8,34
13,18,373,609,4,31
13.5,13,350,637,5,28
14,11,327,662,2,25
14.5,9,308,683,2,21
15,8,292,700,1,17
15.5,8,277,715,0,15
16,8,260,732,0,17
16.5,8,240,752,0,20
17,8,223,769,0,17
17.5,8,204,788,0,19
18,7,196,797,1,9
18.5,7,181,812,0,15
19,6,168,826,1,14
19.5,6,157,837,0,11
20,6,146,848,0,11
20.5,6,136,858,0,10
21,6,123,871,0,13
21.5,6,113,881,0,10
22,6,103,891,0,10
22.5,6,92,902,0,11
23,5,85,910,1,8
23.5,5,75,920,0,10
24,4,70,926,1,6
24.5,4,64,932,0,6
25,3,59,938,1,6
25.5,3,54,943,0,5
26,3,50,947,0,4
26.5,3,45,952,0,5
27,3,39,958,0,6
27.5,3,35,962,0,4
28,3,31,966,0,4
28.5,3,27,970,0,4
29,3,26,971,0,1
29.5,3,25,972,0,1
30,3,24,973,0,1
30.5,2,25,973,1,0
31,2,23,975,0,2
31.5,2,20,978,0,3
32,2,20,978,0,0
32.5,2,20,978,0,0
33,2,19,979,0,1
33.5,2,16,982,0,3
34,2,15,983,0,1
34.5,2,14,984,0,1
35,2,12,986,0,2
35.5,2,11,987,0,1
36,2,9,989,0,2
36.5,2,8,990,0,1
37,2,8,990,0,0
37.5,2,7,991,0,1
38,2,7,991,0,0
38.5,2,6,992,0,1
39,2,6,992,0,0
39.5,2,6,992,0,0
40,2,6,992,0,0
40.5,2,4,994,0,2
41,2,4,994,0,0
41.5,2,4,994,0,0
42,2,4,994,0,0
42.5,2,3,995,0,1
43,2,3,995,0,0
43.5,2,3,995,0,0
44,2,2,996,0,1
44.5,2,2,996,0,0
45,2,2,996,0,0
45.5,2,2,996,0,0
46,2,2,996,0,0
46.5,2,2,996,0,0
47,2,2,996,0,0
47.5,2,2,996,0,0
48,2,2,996,0,0
48.5,2,1,997,0,1
49,2,1,997,0,0
49.5,2,1,997,0,0
50,2,1,997,0,0
50.5,2,1,997,0,0
51,2,1,997,0,0
51.5,2,1,997,0,0
52,2,0,998,0,1
52.5,2,0,998,0,0
53,2,0,998,0,0
53.5,2,0,998,0,0
54,2,0,998,0,0
54.5,2,0,998,0,0
55,2,0,998,0,0
55.5,2,0,998,0,0
56,2,0,998,0,0
56.5,2,0,998,0,0
57,2,0,998,0,0
57.5,2,0,998,0,0
58,2,0,998,0,0
58.5,2,0,998,0,0
59,2,0,998,0,0
59.5,2,0,998,0,0
60,2,0,998,0,0
60.5,2,0,998,0,0
61,2,0,998,0,0
61.5,2,0,998,0,0
62,2,0,998,0,0
62.5,2,0,998,0,0
63,2,0,998,0,0
63.5,2,0,998,0,0
64,2,0,998,0,0
64.5,2,0,998,0,0
65,2,0,998,0,0
65.5,2,0,998,0,0
66,2,0,998,0,0
66.5,2,0,998,0,0
67,2,0,998,0,0
67.5,2,0,998,0,0
68,2,0,998,0,0
68.5,2,0,998,0,0
69,2,0,998,0,0
69.5,2,0,998,0,0
70,2,0,998,0,0
70.5,2,0,998,0,0
71,2,0,998,0,0
71.5,2,0,998,0,0
72,2,0,998,0,0
72.5,2,0,998,0,0
73,2,0,998,0,0
73.5,2,0,998,0,0
74,2,0,998,0,0
74.5,2,0,998,0,0
75,2,0,998,0,0
75.5,2,0,998,0,0
76,2,0,998,0,0
76.5,2,0,998,0,0
77,2,0,998,0,0
77.5,2,0,998,0,0
78,2,0,998,0,0
78.5,2,0,998,0,0
79,2,0,998,0,0
79.5,2,0,998,0,0
80,2,0,998,0,0
