"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,980,17,3,0,3
1,979,18,3,1,0
1.5,977,17,6,2,3
2,974,19,7,3,1
2.5,972,20,8,2,1
3,970,21,9,2,1
3.5,968,23,9,2,0
4,968,21,11,0,2
4.5,965,24,11,3,0
5,960,29,11,5,0
5.5,960,27,13,0,2
6,959,26,15,1,2
6.5,956,28,16,3,1
7,955,28,17,1,1
7.5,953,29,18,2,1
8,951,30,19,2,1
8.5,948,29,23,3,4
9,945,30,25,3,2
9.5,943,32,25,2,0
10,937,35,28,6,3
10.5,936,32,32,1,4
11,930,37,33,6,1
11.5,929,36,35,1,2
12,927,35,38,2,3
12.5,924,36,40,3,2
13,919,39,42,5,2
13.5,918,37,45,1,3
14,917,37,46,1,1
14.5,915,38,47,2,1
15,915,37,48,0,1
15.5,913,36,51,2,3
16,912,36,52,1,1
16.5,909,37,54,3,2
17,906,39,55,3,1
17.5,906,38,56,0,1
18,904,40,56,2,0
18.5,900,43,57,4,1
19,895,44,61,5,4
19.5,891,47,62,4,1
20,889,49,62,2,0
20.5,887,48,65,2,3
21,883,52,65,4,0
21.5,880,54,66,3,1
22,873,59,68,7,2
22.5,866,65,69,7,1
23,862,65,73,4,4
23.5,858,68,74,4,1
24,854,70,76,4,2
24.5,851,67,82,3,6
25,845,69,86,6,4
25.5,841,67,92,4,6
26,837,70,93,4,1
26.5,832,72,96,5,3
27,827,74,99,5,3
27.5,819,79,102,8,3
28,817,78,105,2,3
28.5,815,76,109,2,4
29,807,80,113,8,4
29.5,802,81,117,5,4
30,797,82,121,5,4
30.5,790,84,126,7,5
31,783,85,132,7,6
31.5,775,91,134,8,2
32,769,94,137,6,3
32.5,765,94,141,4,4
33,756,99,145,9,4
33.5,749,99,152,7,7
34,740,101,159,9,7
34.5,729,111,160,11,1
35,725,109,166,4,6
35.5,723,103,174,2,8
36,719,105,176,4,2
36.5,714,104,182,5,6
37,707,103,190,7,8
37.5,701,102,197,6,7
38,692,107,201,9,4
38.5,687,107,206,5,5
39,684,105,211,3,5
39.5,680,101,219,4,8
40,674,104,222,6,3
40.5,664,106,230,10,8
41,659,104,237,5,7
41.5,655,103,242,4,5
42,654,99,247,1,5
42.5,649,102,249,5,2
43,641,103,256,8,7
43.5,638,97,265,3,9
44,636,93,271,2,6
44.5,633,89,278,3,7
45,630,91,279,3,1
45.5,622,97,281,8,2
46,620,94,286,2,5
46.5,616,91,293,4,7
47,610,94,296,6,3
47.5,602,100,298,8,2
48,598,98,304,4,6
48.5,590,101,309,8,5
49,588,97,315,2,6
49.5,583,97,320,5,5
50,576,100,324,7,4
50.5,572,101,327,4,3
51,565,105,330,7,3
51.5,564,102,334,1,4
52,558,105,337,6,3
52.5,554,103,343,4,6
53,550,100,350,4,7
53.5,544,101,355,6,5
54,539,103,358,5,3
54.5,535,99,366,4,8
55,532,97,371,3,5
55.5,529,99,372,3,1
56,529,93,378,0,6
56.5,525,93,382,4,4
57,523,90,387,2,5
57.5,518,87,395,5,8
58,515,84,401,3,6
58.5,512,82,406,3,5
59,508,83,409,4,3
59.5,501,86,413,7,4
60,496,85,419,5,6
60.5,493,82,425,3,6
61,492,77,431,1,6
61.5,488,76,436,4,5
62,486,73,441,2,5
62.5,483,71,446,3,5
63,480,68,452,3,6
63.5,478,68,454,2,2
64,476,68,456,2,2
64.5,473,63,464,3,8
65,471,64,465,2,1
65.5,471,59,470,0,5
66,468,58,474,3,4
66.5,466,59,475,2,1
67,465,55,480,1,5
67.5,463,55,482,2,2
68,463,54,483,0,1
68.5,459,56,485,4,2
69,456,56,488,3,3
69.5,455,56,489,1,1
70,454,51,495,1,6
70.5,451,50,499,3,4
71,449,48,503,2,4
71.5,446,50,504,3,1
72,445,49,506,1,2
72.5,443,48,509,2,3
73,441,48,511,2,2
73.5,441,43,516,0,5
74,439,44,517,2,1
74.5,438,43,519,1,2
75,437,43,520,1,1
75.5,435,37,528,2,8
76,435,36,529,0,1
76.5,434,35,531,1,2
77,434,33,533,0,2
77.5,434,33,533,0,0
78,434,32,534,0,1
78.5,433,33,534,1,0
79,432,32,536,1,2
79.5,431,32,537,1,1
80,431,30,539,0,2
