"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,980,18,2,0,2
1,979,19,2,1,0
1.5,977,20,3,2,1
2,977,20,3,0,0
2.5,975,21,4,2,1
3,974,21,5,1,1
3.5,973,21,6,1,1
4,970,22,8,3,2
4.5,970,21,9,0,1
5,967,24,9,3,0
5.5,966,25,9,1,0
6,966,25,9,0,0
6.5,965,24,11,1,2
7,963,23,14,2,3
7.5,961,23,16,2,2
8,960,23,17,1,1
8.5,960,22,18,0,1
9,959,22,19,1,1
9.5,956,25,19,3,0
10,954,27,19,2,0
10.5,953,26,21,1,2
11,952,26,22,1,1
11.5,951,27,22,1,0
12,951,27,22,0,0
12.5,950,26,24,1,2
13,949,27,24,1,0
13.5,945,26,29,4,5
14,942,26,32,3,3
14.5,940,28,32,2,0
15,940,27,33,0,1
15.5,937,30,33,3,0
16,934,33,33,3,0
16.5,931,35,34,3,1
17,928,36,36,3,2
17.5,926,38,36,2,0
18,922,39,39,4,3
18.5,917,39,44,5,5
19,914,40,46,3,2
19.5,913,40,47,1,1
20,909,41,50,4,3
20.5,905,43,52,4,2
21,903,45,52,2,0
21.5,897,47,56,6,4
22,895,47,58,2,2
22.5,891,47,62,4,4
23,891,46,63,0,1
23.5,888,45,67,3,4
24,883,49,68,5,1
24.5,881,49,70,2,2
25,879,48,73,2,3
25.5,875,49,76,4,3
26,873,48,79,2,3
26.5,870,49,81,3,2
27,869,48,83,1,2
27.5,868,48,84,1,1
28,866,50,84,2,0
28.5,865,50,85,1,1
29,859,53,88,6,3
29.5,854,55,91,5,3
30,852,55,93,2,2
30.5,848,55,97,4,4
31,843,59,98,5,1
31.5,839,61,100,4,2
32,835,63,102,4,2
32.5,829,67,104,6,2
33,826,67,107,3,3
33.5,823,68,109,3,2
34,817,71,112,6,3
34.5,815,72,113,2,1
35,810,73,117,5,4
35.5,806,74,120,4,3
36,801,73,126,5,6
36.5,795,77,128,6,2
37,790,76,134,5,6
37.5,785,79,136,5,2
38,779,83,138,6,2
38.5,771,88,141,8,3
39,765,91,144,6,3
39.5,762,92,146,3,2
40,757,96,147,5,1
40.5,747,101,152,10,5
41,742,99,159,5,7
41.5,735,100,165,7,6
42,727,105,168,8,3
42.5,719,108,173,8,5
43,713,111,176,6,3
43.5,707,109,184,6,8
44,703,108,189,4,5
44.5,696,108,196,7,7
45,693,106,201,3,5
45.5,690,105,205,3,4
46,687,106,207,3,2
46.5,683,106,211,4,4
47,675,111,214,8,3
47.5,670,112,218,5,4
48,665,109,226,5,8
48.5,661,108,231,4,5
49,655,109,236,6,5
49.5,648,108,244,7,8
50,643,109,248,5,4
50.5,636,108,256,7,8
51,632,107,261,4,5
51.5,625,110,265,7,4
52,619,110,271,6,6
52.5,612,115,273,7,2
53,605,117,278,7,5
53.5,599,119,282,6,4
54,598,109,293,1,11
54.5,595,109,296,3,3
55,589,108,303,6,7
55.5,585,105,310,4,7
56,581,103,316,4,6
56.5,578,100,322,3,6
57,570,106,324,8,2
57.5,567,105,328,3,4
58,564,103,333,3,5
58.5,560,101,339,4,6
59,555,98,347,5,8
59.5,551,98,351,4,4
60,547,97,356,4,5
60.5,546,92,362,1,6
61,542,94,364,4,2
61.5,537,95,368,5,4
62,534,89,377,3,9
62.5,529,89,382,5,5
63,527,88,385,2,3
63.5,523,87,390,4,5
64,521,85,394,2,4
64.5,520,82,398,1,4
65,515,80,405,5,7
65.5,511,77,412,4,7
66,508,76,416,3,4
66.5,502,78,420,6,4
67,502,76,422,0,2
67.5,499,77,424,3,2
68,499,72,429,0,5
68.5,494,71,435,5,6
69,493,69,438,1,3
69.5,492,69,439,1,1
70,491,68,441,1,2
70.5,490,69,441,1,0
71,490,66,444,0,3
71.5,489,65,446,1,2
72,487,58,455,2,9
72.5,484,58,458,3,3
73,481,58,461,3,3
73.5,481,55,464,0,3
74,480,53,467,1,3
74.5,475,54,471,5,4
75,473,54,473,2,2
75.5,473,52,475,0,2
76,467,55,478,6,3
76.5,465,54,481,2,3
77,462,54,484,3,3
77.5,459,51,490,3,6
78,457,53,490,2,0
78.5,455,52,493,2,3
79,455,47,498,0,5
79.5,455,43,502,0,4
80,450,46,504,5,2
