"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,194,6,0,2,0
1,189,11,0,5,0
1.5,186,11,3,3,3
2,181,16,3,5,0
2.5,175,20,5,6,2
3,172,22,6,3,1
3.5,165,28,7,7,1
4,153,38,9,12,2
4.5,143,43,14,10,5
5,135,48,17,8,3
5.5,121,59,20,14,3
6,110,69,21,11,1
6.5,96,79,25,14,4
7,87,86,27,9,2
7.5,69,100,31,18,4
8,57,109,34,12,3
8.5,47,116,37,10,3
9,38,119,43,9,6
9.5,33,118,49,5,6
10,28,116,56,5,7
10.5,20,119,61,8,5
11,13,122,65,7,4
11.5,11,119,70,2,5
12,9,114,77,2,7
12.5,6,116,78,3,1
13,4,111,85,2,7
13.5,3,103,94,1,9
14,3,95,102,0,8
14.5,2,90,108,1,6
15,1,88,111,1,3
15.5,1,77,122,0,11
16,1,72,127,0,5
16.5,0,66,134,1,7
17,0,62,138,0,4
17.5,0,60,140,0,2
18,0,55,145,0,5
18.5,0,50,150,0,5
19,0,47,153,0,3
19.5,0,44,156,0,3
20,0,42,158,0,2
20.5,0,39,161,0,3
21,0,36,164,0,3
21.5,0,34,166,0,2
22,0,33,167,0,1
22.5,0,32,168,0,1
23,0,32,168,0,0
23.5,0,30,170,0,2
24,0,28,172,0,2
24.5,0,25,175,0,3
25,0,23,177,0,2
25.5,0,21,179,0,2
26,0,17,183,0,4
26.5,0,15,185,0,2
27,0,15,185,0,0
27.5,0,13,187,0,2
28,0,13,187,0,0
28.5,0,12,188,0,1
29,0,10,190,0,2
29.5,0,10,190,0,0
30,0,10,190,0,0
30.5,0,10,190,0,0
31,0,8,192,0,2
31.5,0,8,192,0,0
32,0,7,193,0,1
32.5,0,7,193,0,0
33,0,6,194,0,1
33.5,0,6,194,0,0
34,0,5,195,0,1
34.5,0,4,196,0,1
35,0,3,197,0,1
35.5,0,3,197,0,0
36,0,3,197,0,0
36.5,0,3,197,0,0
37,0,2,198,0,1
37.5,0,1,199,0,1
38,0,1,199,0,0
38.5,0,1,199,0,0
39,0,1,199,0,0
39.5,0,1,199,0,0
40,0,1,199,0,0
40.5,0,1,199,0,0
41,0,1,199,0,0
41.5,0,1,199,0,0
42,0,1,199,0,0
42.5,0,1,199,0,0
43,0,1,199,0,0
43.5,0,1,199,0,0
44,0,1,199,0,0
44.5,0,1,199,0,0
45,0,1,199,0,0
45.5,0,1,199,0,0
46,0,1,199,0,0
46.5,0,1,199,0,0
47,0,1,199,0,0
47.5,0,1,199,0,0
48,0,1,199,0,0
48.5,0,1,199,0,0
49,0,1,199,0,0
49.5,0,1,199,0,0
50,0,1,199,0,0
50.5,0,1,199,0,0
51,0,1,199,0,0
51.5,0,1,199,0,0
52,0,1,199,0,0
52.5,0,1,199,0,0
53,0,1,199,0,0
53.5,0,1,199,0,0
54,0,1,199,0,0
54.5,0,1,199,0,0
55,0,1,199,0,0
55.5,0,1,199,0,0
56,0,1,199,0,0
56.5,0,1,199,0,0
57,0,1,199,0,0
57.5,0,1,199,0,0
58,0,1,199,0,0
58.5,0,1,199,0,0
59,0,1,199,0,0
59.5,0,1,199,0,0
60,0,1,199,0,0
60.5,0,1,199,0,0
61,0,1,199,0,0
61.5,0,1,199,0,0
62,0,1,199,0,0
62.5,0,1,199,0,0
63,0,0,200,0,1
63.5,0,0,200,0,0
64,0,0,200,0,0
64.5,0,0,200,0,0
65,0,0,200,0,0
65.5,0,0,200,0,0
66,0,0,200,0,0
66.5,0,0,200,0,0
67,0,0,200,0,0
67.5,0,0,200,0,0
68,0,0,200,0,0
68.5,0,0,200,0,0
69,0,0,200,0,0
69.5,0,0,200,0,0
70,0,0,200,0,0
70.5,0,0,200,0,0
71,0,0,200,0,0
71.5,0,0,200,0,0
72,0,0,200,0,0
72.5,0,0,200,0,0
73,0,0,200,0,0
73.5,0,0,200,0,0
74,0,0,200,0,0
74.5,0,0,200,0,0
75,0,0,200,0,0
75.5,0,0,200,0,0
76,0,0,200,0,0
76.5,0,0,200,0,0
77,0,0,200,0,0
77.5,0,0,200,0,0
78,0,0,200,0,0
78.5,0,0,200,0,0
79,0,0,200,0,0
79.5,0,0,200,0,0
80,0,0,200,0,0
