"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,194,6,0,2,0
1,192,8,0,2,0
1.5,187,13,0,5,0
2,185,14,1,2,1
2.5,178,21,1,7,0
3,172,26,2,6,1
3.5,167,29,4,5,2
4,158,37,5,9,1
4.5,144,49,7,14,2
5,130,63,7,14,0
5.5,109,79,12,21,5
6,94,91,15,15,3
6.5,82,98,20,12,5
7,62,109,29,20,9
7.5,48,118,34,14,5
8,43,115,42,5,8
8.5,33,116,51,10,9
9,26,118,56,7,5
9.5,22,113,65,4,9
10,16,115,69,6,4
10.5,15,111,74,1,5
11,13,111,76,2,2
11.5,11,106,83,2,7
12,7,106,87,4,4
12.5,7,99,94,0,7
13,4,97,99,3,5
13.5,3,94,103,1,4
14,2,90,108,1,5
14.5,1,85,114,1,6
15,1,79,120,0,6
15.5,1,72,127,0,7
16,1,67,132,0,5
16.5,1,66,133,0,1
17,1,63,136,0,3
17.5,1,62,137,0,1
18,1,59,140,0,3
18.5,1,56,143,0,3
19,1,55,144,0,1
19.5,1,53,146,0,2
20,1,52,147,0,1
20.5,1,49,150,0,3
21,0,46,154,1,4
21.5,0,44,156,0,2
22,0,40,160,0,4
22.5,0,39,161,0,1
23,0,39,161,0,0
23.5,0,38,162,0,1
24,0,37,163,0,1
24.5,0,35,165,0,2
25,0,32,168,0,3
25.5,0,30,170,0,2
26,0,28,172,0,2
26.5,0,26,174,0,2
27,0,26,174,0,0
27.5,0,24,176,0,2
28,0,23,177,0,1
28.5,0,22,178,0,1
29,0,19,181,0,3
29.5,0,18,182,0,1
30,0,18,182,0,0
30.5,0,17,183,0,1
31,0,17,183,0,0
31.5,0,15,185,0,2
32,0,14,186,0,1
32.5,0,13,187,0,1
33,0,13,187,0,0
33.5,0,13,187,0,0
34,0,12,188,0,1
34.5,0,11,189,0,1
35,0,10,190,0,1
35.5,0,9,191,0,1
36,0,9,191,0,0
36.5,0,9,191,0,0
37,0,9,191,0,0
37.5,0,5,195,0,4
38,0,4,196,0,1
38.5,0,4,196,0,0
39,0,4,196,0,0
39.5,0,4,196,0,0
40,0,4,196,0,0
40.5,0,4,196,0,0
41,0,4,196,0,0
41.5,0,4,196,0,0
42,0,4,196,0,0
42.5,0,4,196,0,0
43,0,4,196,0,0
43.5,0,4,196,0,0
44,0,4,196,0,0
44.5,0,4,196,0,0
45,0,4,196,0,0
45.5,0,4,196,0,0
46,0,4,196,0,0
46.5,0,4,196,0,0
47,0,4,196,0,0
47.5,0,4,196,0,0
48,0,4,196,0,0
48.5,0,4,196,0,0
49,0,4,196,0,0
49.5,0,4,196,0,0
50,0,4,196,0,0
50.5,0,4,196,0,0
51,0,4,196,0,0
51.5,0,4,196,0,0
52,0,4,196,0,0
52.5,0,4,196,0,0
53,0,4,196,0,0
53.5,0,4,196,0,0
54,0,4,196,0,0
54.5,0,4,196,0,0
55,0,4,196,0,0
55.5,0,4,196,0,0
56,0,4,196,0,0
56.5,0,4,196,0,0
57,0,3,197,0,1
57.5,0,3,197,0,0
58,0,3,197,0,0
58.5,0,3,197,0,0
59,0,3,197,0,0
59.5,0,2,198,0,1
60,0,2,198,0,0
60.5,0,2,198,0,0
61,0,2,198,0,0
61.5,0,2,198,0,0
62,0,2,198,0,0
62.5,0,2,198,0,0
63,0,2,198,0,0
63.5,0,2,198,0,0
64,0,2,198,0,0
64.5,0,2,198,0,0
65,0,2,198,0,0
65.5,0,2,198,0,0
66,0,2,198,0,0
66.5,0,2,198,0,0
67,0,2,198,0,0
67.5,0,2,198,0,0
68,0,2,198,0,0
68.5,0,2,198,0,0
69,0,2,198,0,0
69.5,0,2,198,0,0
70,0,2,198,0,0
70.5,0,2,198,0,0
71,0,2,198,0,0
71.5,0,2,198,0,0
72,0,2,198,0,0
72.5,0,2,198,0,0
73,0,2,198,0,0
73.5,0,2,198,0,0
74,0,2,198,0,0
74.5,0,2,198,0,0
75,0,2,198,0,0
75.5,0,2,198,0,0
76,0,2,198,0,0
76.5,0,2,198,0,0
77,0,2,198,0,0
77.5,0,2,198,0,0
78,0,2,198,0,0
78.5,0,1,199,0,1
79,0,1,199,0,0
79.5,0,0,200,0,1
80,0,0,200,0,0
