"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,194,6,0,2,0
1,192,7,1,2,1
1.5,191,8,1,1,0
2,189,10,1,2,0
2.5,184,15,1,5,0
3,177,21,2,7,1
3.5,172,24,4,5,2
4,164,31,5,8,1
4.5,158,36,6,6,1
5,147,43,10,11,4
5.5,130,57,13,17,3
6,112,72,16,18,3
6.5,96,82,22,16,6
7,76,98,26,20,4
7.5,58,110,32,18,6
8,45,119,36,13,4
8.5,37,115,48,8,12
9,29,113,58,8,10
9.5,20,109,71,9,13
10,15,106,79,5,8
10.5,13,102,85,2,6
11,13,93,94,0,9
11.5,12,90,98,1,4
12,12,84,104,0,6
12.5,12,76,112,0,8
13,11,68,121,1,9
13.5,10,64,126,1,5
14,10,59,131,0,5
14.5,9,56,135,1,4
15,8,53,139,1,4
15.5,8,51,141,0,2
16,7,49,144,1,3
16.5,6,45,149,1,5
17,5,43,152,1,3
17.5,5,41,154,0,2
18,5,38,157,0,3
18.5,5,35,160,0,3
19,5,32,163,0,3
19.5,5,27,168,0,5
20,5,26,169,0,1
20.5,4,25,171,1,2
21,4,23,173,0,2
21.5,4,23,173,0,0
22,4,22,174,0,1
22.5,4,22,174,0,0
23,4,20,176,0,2
23.5,4,19,177,0,1
24,4,17,179,0,2
24.5,4,16,180,0,1
25,4,16,180,0,0
25.5,4,16,180,0,0
26,4,15,181,0,1
26.5,3,14,183,1,2
27,2,14,184,1,1
27.5,2,13,185,0,1
28,2,11,187,0,2
28.5,2,10,188,0,1
29,2,8,190,0,2
29.5,2,7,191,0,1
30,2,6,192,0,1
30.5,2,6,192,0,0
31,2,6,192,0,0
31.5,2,6,192,0,0
32,2,6,192,0,0
32.5,2,4,194,0,2
33,2,4,194,0,0
33.5,2,4,194,0,0
34,2,4,194,0,0
34.5,2,3,195,0,1
35,2,3,195,0,0
35.5,2,3,195,0,0
36,2,2,196,0,1
36.5,2,2,196,0,0
37,2,2,196,0,0
37.5,2,1,197,0,1
38,2,1,197,0,0
38.5,2,1,197,0,0
39,2,1,197,0,0
39.5,2,1,197,0,0
40,2,1,197,0,0
40.5,2,1,197,0,0
41,2,1,197,0,0
41.5,2,1,197,0,0
42,2,0,198,0,1
42.5,2,0,198,0,0
43,2,0,198,0,0
43.5,2,0,198,0,0
44,2,0,198,0,0
44.5,2,0,198,0,0
45,2,0,198,0,0
45.5,2,0,198,0,0
46,2,0,198,0,0
46.5,2,0,198,0,0
47,2,0,198,0,0
47.5,2,0,198,0,0
48,2,0,198,0,0
48.5,2,0,198,0,0
49,2,0,198,0,0
49.5,2,0,198,0,0
50,2,0,198,0,0
50.5,2,0,198,0,0
51,2,0,198,0,0
51.5,2,0,198,0,0
52,2,0,198,0,0
52.5,2,0,198,0,0
53,2,0,198,0,0
53.5,2,0,198,0,0
54,2,0,198,0,0
54.5,2,0,198,0,0
55,2,0,198,0,0
55.5,2,0,198,0,0
56,2,0,198,0,0
56.5,2,0,198,0,0
57,2,0,198,0,0
57.5,2,0,198,0,0
58,2,0,198,0,0
58.5,2,0,198,0,0
59,2,0,198,0,0
59.5,2,0,198,0,0
60,2,0,198,0,0
60.5,2,0,198,0,0
61,2,0,198,0,0
61.5,2,0,198,0,0
62,2,0,198,0,0
62.5,2,0,198,0,0
63,2,0,198,0,0
63.5,2,0,198,0,0
64,2,0,198,0,0
64.5,2,0,198,0,0
65,2,0,198,0,0
65.5,2,0,198,0,0
66,2,0,198,0,0
66.5,2,0,198,0,0
67,2,0,198,0,0
67.5,2,0,198,0,0
68,2,0,198,0,0
68.5,2,0,198,0,0
69,2,0,198,0,0
69.5,2,0,198,0,0
70,2,0,198,0,0
70.5,2,0,198,0,0
71,2,0,198,0,0
71.5,2,0,198,0,0
72,2,0,198,0,0
72.5,2,0,198,0,0
73,2,0,198,0,0
73.5,2,0,198,0,0
74,2,0,198,0,0
74.5,2,0,198,0,0
75,2,0,198,0,0
75.5,2,0,198,0,0
76,2,0,198,0,0
76.5,2,0,198,0,0
77,2,0,198,0,0
77.5,2,0,198,0,0
78,2,0,198,0,0
78.5,2,0,198,0,0
79,2,0,198,0,0
79.5,2,0,198,0,0
80,2,0,198,0,0
