"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,181,19,0,15,0
1,111,89,0,70,0
1.5,8,189,3,103,3
2,0,189,11,8,8
2.5,0,174,26,0,15
3,0,170,30,0,4
3.5,0,169,31,0,1
4,0,159,41,0,10
4.5,0,154,46,0,5
5,0,148,52,0,6
5.5,0,142,58,0,6
6,0,137,63,0,5
6.5,0,127,73,0,10
7,0,123,77,0,4
7.5,0,118,82,0,5
8,0,111,89,0,7
8.5,0,110,90,0,1
9,0,107,93,0,3
9.5,0,105,95,0,2
10,0,101,99,0,4
10.5,0,94,106,0,7
11,0,91,109,0,3
11.5,0,88,112,0,3
12,0,81,119,0,7
12.5,0,76,124,0,5
13,0,74,126,0,2
13.5,0,68,132,0,6
14,0,66,134,0,2
14.5,0,61,139,0,5
15,0,61,139,0,0
15.5,0,57,143,0,4
16,0,54,146,0,3
16.5,0,49,151,0,5
17,0,48,152,0,1
17.5,0,45,155,0,3
18,0,41,159,0,4
18.5,0,39,161,0,2
19,0,37,163,0,2
19.5,0,37,163,0,0
20,0,36,164,0,1
20.5,0,36,164,0,0
21,0,34,166,0,2
21.5,0,32,168,0,2
22,0,32,168,0,0
22.5,0,29,171,0,3
23,0,24,176,0,5
23.5,0,23,177,0,1
24,0,22,178,0,1
24.5,0,20,180,0,2
25,0,20,180,0,0
25.5,0,18,182,0,2
26,0,17,183,0,1
26.5,0,16,184,0,1
27,0,15,185,0,1
27.5,0,15,185,0,0
28,0,15,185,0,0
28.5,0,15,185,0,0
29,0,15,185,0,0
29.5,0,15,185,0,0
30,0,14,186,0,1
30.5,0,14,186,0,0
31,0,14,186,0,0
31.5,0,14,186,0,0
32,0,14,186,0,0
32.5,0,13,187,0,1
33,0,13,187,0,0
33.5,0,13,187,0,0
34,0,12,188,0,1
34.5,0,11,189,0,1
35,0,11,189,0,0
35.5,0,11,189,0,0
36,0,11,189,0,0
36.5,0,8,192,0,3
37,0,8,192,0,0
37.5,0,8,192,0,0
38,0,8,192,0,0
38.5,0,8,192,0,0
39,0,8,192,0,0
39.5,0,8,192,0,0
40,0,8,192,0,0
40.5,0,8,192,0,0
41,0,8,192,0,0
41.5,0,8,192,0,0
42,0,7,193,0,1
42.5,0,6,194,0,1
43,0,6,194,0,0
43.5,0,6,194,0,0
44,0,6,194,0,0
44.5,0,5,195,0,1
45,0,5,195,0,0
45.5,0,5,195,0,0
46,0,5,195,0,0
46.5,0,5,195,0,0
47,0,5,195,0,0
47.5,0,5,195,0,0
48,0,4,196,0,1
48.5,0,4,196,0,0
49,0,4,196,0,0
49.5,0,4,196,0,0
50,0,4,196,0,0
50.5,0,4,196,0,0
51,0,4,196,0,0
51.5,0,4,196,0,0
52,0,4,196,0,0
52.5,0,4,196,0,0
53,0,4,196,0,0
53.5,0,4,196,0,0
54,0,4,196,0,0
54.5,0,4,196,0,0
55,0,4,196,0,0
55.5,0,4,196,0,0
56,0,3,197,0,1
56.5,0,3,197,0,0
57,0,3,197,0,0
57.5,0,3,197,0,0
58,0,3,197,0,0
58.5,0,3,197,0,0
59,0,3,197,0,0
59.5,0,2,198,0,1
60,0,2,198,0,0
60.5,0,2,198,0,0
61,0,2,198,0,0
61.5,0,2,198,0,0
62,0,2,198,0,0
62.5,0,2,198,0,0
63,0,2,198,0,0
63.5,0,2,198,0,0
64,0,2,198,0,0
64.5,0,2,198,0,0
65,0,1,199,0,1
65.5,0,1,199,0,0
66,0,1,199,0,0
66.5,0,1,199,0,0
67,0,1,199,0,0
67.5,0,1,199,0,0
68,0,1,199,0,0
68.5,0,1,199,0,0
69,0,1,199,0,0
69.5,0,1,199,0,0
70,0,1,199,0,0
70.5,0,1,199,0,0
71,0,1,199,0,0
71.5,0,1,199,0,0
72,0,1,199,0,0
72.5,0,0,200,0,1
73,0,0,200,0,0
73.5,0,0,200,0,0
74,0,0,200,0,0
74.5,0,0,200,0,0
75,0,0,200,0,0
75.5,0,0,200,0,0
76,0,0,200,0,0
76.5,0,0,200,0,0
77,0,0,200,0,0
77.5,0,0,200,0,0
78,0,0,200,0,0
78.5,0,0,200,0,0
79,0,0,200,0,0
79.5,0,0,200,0,0
80,0,0,200,0,0
