"time","S","I","R","new_I","new_R"
0,49,1,0,1,0
0.5,49,1,0,0,0
1,49,1,0,0,0
1.5,49,1,0,0,0
2,49,1,0,0,0
2.5,49,1,0,0,0
3,49,1,0,0,0
3.5,49,1,0,0,0
4,48,2,0,1,0
4.5,48,1,1,0,1
5,48,1,1,0,0
5.5,48,1,1,0,0
6,48,1,1,0,0
6.5,48,1,1,0,0
7,48,1,1,0,0
7.5,48,1,1,0,0
8,48,1,1,0,0
8.5,48,1,1,0,0
9,48,1,1,0,0
9.5,47,2,1,1,0
10,47,2,1,0,0
10.5,46,3,1,1,0
11,46,3,1,0,0
11.5,45,4,1,1,0
12,45,4,1,0,0
12.5,45,4,1,0,0
13,44,5,1,1,0
13.5,44,5,1,0,0
14,43,5,2,1,1
14.5,42,6,2,1,0
15,42,6,2,0,0
15.5,41,7,2,1,0
16,41,7,2,0,0
16.5,41,7,2,0,0
17,39,9,2,2,0
17.5,39,7,4,0,2
18,38,7,5,1,1
18.5,38,6,6,0,1
19,38,5,7,0,1
19.5,38,5,7,0,0
20,37,6,7,1,0
20.5,36,6,8,1,1
21,35,7,8,1,0
21.5,33,8,9,2,1
22,33,7,10,0,1
22.5,33,6,11,0,1
23,32,6,12,1,1
23.5,30,8,12,2,0
24,29,9,12,1,0
24.5,29,9,12,0,0
25,28,10,12,1,0
25.5,27,11,12,1,0
26,26,9,15,1,3
26.5,26,9,15,0,0
27,26,8,16,0,1
27.5,25,9,16,1,0
28,25,9,16,0,0
28.5,22,11,17,3,1
29,21,10,19,1,2
29.5,19,12,19,2,0
30,18,12,20,1,1
30.5,18,11,21,0,1
31,17,11,22,1,1
31.5,17,9,24,0,2
32,17,8,25,0,1
32.5,17,8,25,0,0
33,17,8,25,0,0
33.5,17,8,25,0,0
34,17,8,25,0,0
34.5,17,8,25,0,0
35,16,9,25,1,0
35.5,16,9,25,0,0
36,15,9,26,1,1
36.5,14,10,26,1,0
37,14,10,26,0,0
37.5,14,9,27,0,1
38,14,7,29,0,2
38.5,14,7,29,0,0
39,14,7,29,0,0
39.5,14,7,29,0,0
40,13,8,29,1,0
40.5,13,8,29,0,0
41,13,7,30,0,1
41.5,12,8,30,1,0
42,12,8,30,0,0
42.5,12,7,31,0,1
43,12,5,33,0,2
43.5,12,5,33,0,0
44,12,3,35,0,2
44.5,11,4,35,1,0
45,11,4,35,0,0
45.5,11,4,35,0,0
46,10,5,35,1,0
46.5,10,5,35,0,0
47,10,5,35,0,0
47.5,10,4,36,0,1
48,10,4,36,0,0
48.5,10,3,37,0,1
49,10,3,37,0,0
49.5,10,3,37,0,0
50,10,3,37,0,0
50.5,10,1,39,0,2
51,10,1,39,0,0
51.5,10,1,39,0,0
52,9,2,39,1,0
52.5,9,2,39,0,0
53,9,2,39,0,0
53.5,9,1,40,0,1
54,9,1,40,0,0
54.5,9,0,41,0,1
55,9,0,41,0,0
55.5,9,0,41,0,0
56,9,0,41,0,0
56.5,9,0,41,0,0
57,9,0,41,0,0
57.5,9,0,41,0,0
58,9,0,41,0,0
58.5,9,0,41,0,0
59,9,0,41,0,0
59.5,9,0,41,0,0
60,9,0,41,0,0
60.5,9,0,41,0,0
61,9,0,41,0,0
61.5,9,0,41,0,0
62,9,0,41,0,0
62.5,9,0,41,0,0
63,9,0,41,0,0
63.5,9,0,41,0,0
64,9,0,41,0,0
64.5,9,0,41,0,0
65,9,0,41,0,0
65.5,9,0,41,0,0
66,9,0,41,0,0
66.5,9,0,41,0,0
67,9,0,41,0,0
67.5,9,0,41,0,0
68,9,0,41,0,0
68.5,9,0,41,0,0
69,9,0,41,0,0
69.5,9,0,41,0,0
70,9,0,41,0,0
70.5,9,0,41,0,0
71,9,0,41,0,0
71.5,9,0,41,0,0
72,9,0,41,0,0
72.5,9,0,41,0,0
73,9,0,41,0,0
73.5,9,0,41,0,0
74,9,0,41,0,0
74.5,9,0,41,0,0
75,9,0,41,0,0
75.5,9,0,41,0,0
76,9,0,41,0,0
76.5,9,0,41,0,0
77,9,0,41,0,0
77.5,9,0,41,0,0
78,9,0,41,0,0
78.5,9,0,41,0,0
79,9,0,41,0,0
79.5,9,0,41,0,0
80,9,0,41,0,0
