"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,979,20,1,1,1
1,975,23,2,4,1
1.5,970,27,3,5,1
2,966,30,4,4,1
2.5,964,31,5,2,1
3,960,35,5,4,0
3.5,958,34,8,2,3
4,954,36,10,4,2
4.5,952,36,12,2,2
5,948,38,14,4,2
5.5,946,39,15,2,1
6,943,40,17,3,2
6.5,939,42,19,4,2
7,937,42,21,2,2
7.5,933,46,21,4,0
8,928,50,22,5,1
8.5,921,54,25,7,3
9,914,60,26,7,1
9.5,910,61,29,4,3
10,904,64,32,6,3
10.5,902,60,38,2,6
11,899,60,41,3,3
11.5,895,62,43,4,2
12,892,63,45,3,2
12.5,886,65,49,6,4
13,883,67,50,3,1
13.5,875,75,50,8,0
14,868,81,51,7,1
14.5,864,80,56,4,5
15,862,78,60,2,4
15.5,860,76,64,2,4
16,856,77,67,4,3
16.5,851,80,69,5,2
17,844,81,75,7,6
17.5,838,84,78,6,3
18,834,83,83,4,5
18.5,828,85,87,6,4
19,823,85,92,5,5
19.5,815,88,97,8,5
20,810,88,102,5,5
20.5,806,90,104,4,2
21,800,92,108,6,4
21.5,795,90,115,5,7
22,790,93,117,5,2
22.5,787,93,120,3,3
23,786,92,122,1,2
23.5,783,89,128,3,6
24,777,88,135,6,7
24.5,771,94,135,6,0
25,766,93,141,5,6
25.5,764,92,144,2,3
26,754,96,150,10,6
26.5,751,96,153,3,3
27,749,95,156,2,3
27.5,744,96,160,5,4
28,738,97,165,6,5
28.5,735,97,168,3,3
29,731,96,173,4,5
29.5,723,101,176,8,3
30,718,98,184,5,8
30.5,713,99,188,5,4
31,709,100,191,4,3
31.5,704,99,197,5,6
32,701,98,201,3,4
32.5,698,93,209,3,8
33,695,95,210,3,1
33.5,690,94,216,5,6
34,687,92,221,3,5
34.5,678,95,227,9,6
35,673,93,234,5,7
35.5,667,97,236,6,2
36,662,98,240,5,4
36.5,656,98,246,6,6
37,651,99,250,5,4
37.5,646,100,254,5,4
38,639,103,258,7,4
38.5,635,103,262,4,4
39,629,107,264,6,2
39.5,624,105,271,5,7
40,620,103,277,4,6
40.5,617,105,278,3,1
41,610,105,285,7,7
41.5,605,102,293,5,8
42,602,100,298,3,5
42.5,599,96,305,3,7
43,591,97,312,8,7
43.5,587,100,313,4,1
44,585,100,315,2,2
44.5,581,95,324,4,9
45,580,90,330,1,6
45.5,575,89,336,5,6
46,573,84,343,2,7
46.5,571,84,345,2,2
47,565,85,350,6,5
47.5,563,84,353,2,3
48,560,83,357,3,4
48.5,557,81,362,3,5
49,555,79,366,2,4
49.5,551,77,372,4,6
50,549,77,374,2,2
50.5,543,77,380,6,6
51,539,77,384,4,4
51.5,536,75,389,3,5
52,536,71,393,0,4
52.5,533,73,394,3,1
53,531,74,395,2,1
53.5,523,77,400,8,5
54,521,76,403,2,3
54.5,517,75,408,4,5
55,516,75,409,1,1
55.5,511,76,413,5,4
56,511,72,417,0,4
56.5,506,75,419,5,2
57,503,71,426,3,7
57.5,498,73,429,5,3
58,492,77,431,6,2
58.5,491,73,436,1,5
59,488,73,439,3,3
59.5,487,74,439,1,0
60,484,73,443,3,4
60.5,482,70,448,2,5
61,480,69,451,2,3
61.5,480,65,455,0,4
62,478,61,461,2,6
62.5,473,64,463,5,2
63,472,60,468,1,5
63.5,471,59,470,1,2
64,468,61,471,3,1
64.5,467,60,473,1,2
65,464,62,474,3,1
65.5,461,62,477,3,3
66,461,58,481,0,4
66.5,460,58,482,1,1
67,458,60,482,2,0
67.5,455,60,485,3,3
68,452,63,485,3,0
68.5,451,61,488,1,3
69,451,57,492,0,4
69.5,449,56,495,2,3
70,449,53,498,0,3
70.5,448,52,500,1,2
71,445,52,503,3,3
71.5,444,50,506,1,3
72,441,51,508,3,2
72.5,438,53,509,3,1
73,436,50,514,2,5
73.5,435,49,516,1,2
74,434,48,518,1,2
74.5,431,48,521,3,3
75,431,41,528,0,7
75.5,428,42,530,3,2
76,427,42,531,1,1
76.5,425,44,531,2,0
77,424,44,532,1,1
77.5,424,42,534,0,2
78,424,39,537,0,3
78.5,423,38,539,1,2
79,423,37,540,0,1
79.5,423,35,542,0,2
80,423,32,545,0,3
