"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,196,3,1,0,1
1,196,3,1,0,0
1.5,195,4,1,1,0
2,194,5,1,1,0
2.5,193,6,1,1,0
3,193,6,1,0,0
3.5,193,6,1,0,0
4,193,6,1,0,0
4.5,193,6,1,0,0
5,193,6,1,0,0
5.5,193,6,1,0,0
6,192,7,1,1,0
6.5,192,6,2,0,1
7,191,6,3,1,1
7.5,190,6,4,1,1
8,190,5,5,0,1
8.5,189,6,5,1,0
9,189,6,5,0,0
9.5,189,5,6,0,1
10,188,5,7,1,1
10.5,188,5,7,0,0
11,188,5,7,0,0
11.5,188,5,7,0,0
12,188,5,7,0,0
12.5,186,7,7,2,0
13,185,8,7,1,0
13.5,182,11,7,3,0
14,181,11,8,1,1
14.5,180,10,10,1,2
15,179,11,10,1,0
15.5,175,13,12,4,2
16,175,13,12,0,0
16.5,174,13,13,1,1
17,173,13,14,1,1
17.5,172,13,15,1,1
18,167,17,16,5,1
18.5,166,18,16,1,0
19,165,19,16,1,0
19.5,162,19,19,3,3
20,161,17,22,1,3
20.5,158,18,24,3,2
21,155,20,25,3,1
21.5,153,21,26,2,1
22,151,23,26,2,0
22.5,150,23,27,1,1
23,147,22,31,3,4
23.5,144,23,33,3,2
24,143,24,33,1,0
24.5,143,24,33,0,0
25,142,24,34,1,1
25.5,141,24,35,1,1
26,138,25,37,3,2
26.5,136,26,38,2,1
27,132,30,38,4,0
27.5,130,29,41,2,3
28,128,28,44,2,3
28.5,127,26,47,1,3
29,124,29,47,3,0
29.5,122,30,48,2,1
30,119,31,50,3,2
30.5,117,32,51,2,1
31,114,33,53,3,2
31.5,111,36,53,3,0
32,109,35,56,2,3
32.5,106,36,58,3,2
33,102,38,60,4,2
33.5,99,37,64,3,4
34,97,37,66,2,2
34.5,93,40,67,4,1
35,91,41,68,2,1
35.5,88,40,72,3,4
36,84,41,75,4,3
36.5,83,37,80,1,5
37,82,37,81,1,1
37.5,81,35,84,1,3
38,77,34,89,4,5
38.5,75,35,90,2,1
39,73,36,91,2,1
39.5,71,37,92,2,1
40,70,34,96,1,4
40.5,70,33,97,0,1
41,69,33,98,1,1
41.5,66,30,104,3,6
42,66,29,105,0,1
42.5,65,30,105,1,0
43,64,29,107,1,2
43.5,63,27,110,1,3
44,63,25,112,0,2
44.5,62,24,114,1,2
45,60,22,118,2,4
45.5,59,23,118,1,0
46,59,23,118,0,0
46.5,58,23,119,1,1
47,58,20,122,0,3
47.5,58,16,126,0,4
48,58,16,126,0,0
48.5,57,17,126,1,0
49,57,15,128,0,2
49.5,56,16,128,1,0
50,56,14,130,0,2
50.5,56,14,130,0,0
51,54,15,131,2,1
51.5,52,16,132,2,1
52,52,15,133,0,1
52.5,52,13,135,0,2
53,51,14,135,1,0
53.5,51,12,137,0,2
54,51,11,138,0,1
54.5,50,10,140,1,2
55,49,11,140,1,0
55.5,48,11,141,1,1
56,48,10,142,0,1
56.5,48,8,144,0,2
57,48,8,144,0,0
57.5,48,8,144,0,0
58,48,7,145,0,1
58.5,48,6,146,0,1
59,48,5,147,0,1
59.5,48,5,147,0,0
60,48,5,147,0,0
60.5,48,5,147,0,0
61,48,5,147,0,0
61.5,48,5,147,0,0
62,48,5,147,0,0
62.5,48,5,147,0,0
63,48,4,148,0,1
63.5,48,3,149,0,1
64,48,3,149,0,0
64.5,48,3,149,0,0
65,47,4,149,1,0
65.5,47,4,149,0,0
66,47,4,149,0,0
66.5,47,4,149,0,0
67,47,4,149,0,0
67.5,47,4,149,0,0
68,47,4,149,0,0
68.5,46,4,150,1,1
69,46,3,151,0,1
69.5,46,3,151,0,0
70,46,3,151,0,0
70.5,46,3,151,0,0
71,46,3,151,0,0
71.5,46,3,151,0,0
72,46,2,152,0,1
72.5,46,2,152,0,0
73,46,1,153,0,1
73.5,46,1,153,0,0
74,46,1,153,0,0
74.5,46,1,153,0,0
75,46,1,153,0,0
75.5,46,1,153,0,0
76,46,0,154,0,1
76.5,46,0,154,0,0
77,46,0,154,0,0
77.5,46,0,154,0,0
78,46,0,154,0,0
78.5,46,0,154,0,0
79,46,0,154,0,0
79.5,46,0,154,0,0
80,46,0,154,0,0
