"time","S","I","R","new_I","new_R"
0,99999,1,0,1,0
0.5,99004,996,0,995,0
1,8,99961,31,98996,31
1.5,0,96435,3565,8,3534
2,0,93107,6893,0,3328
2.5,0,89842,10158,0,3265
3,0,86755,13245,0,3087
3.5,0,83802,16198,0,2953
4,0,80828,19172,0,2974
4.5,0,77966,22034,0,2862
5,0,75288,24712,0,2678
5.5,0,72737,27263,0,2551
6,0,70214,29786,0,2523
6.5,0,67794,32206,0,2420
7,0,65415,34585,0,2379
7.5,0,63183,36817,0,2232
8,0,61057,38943,0,2126
8.5,0,58903,41097,0,2154
9,0,56899,43101,0,2004
9.5,0,54948,45052,0,1951
10,0,53099,46901,0,1849
10.5,0,51247,48753,0,1852
11,0,49503,50497,0,1744
11.5,0,47771,52229,0,1732
12,0,46128,53872,0,1643
12.5,0,44549,55451,0,1579
13,0,42978,57022,0,1571
13.5,0,41448,58552,0,1530
14,0,40000,60000,0,1448
14.5,0,38577,61423,0,1423
15,0,37259,62741,0,1318
15.5,0,36033,63967,0,1226
16,0,34821,65179,0,1212
16.5,0,33614,66386,0,1207
17,0,32474,67526,0,1140
17.5,0,31341,68659,0,1133
18,0,30272,69728,0,1069
18.5,0,29216,70784,0,1056
19,0,28256,71744,0,960
19.5,0,27231,72769,0,1025
20,0,26283,73717,0,948
20.5,0,25362,74638,0,921
21,0,24489,75511,0,873
21.5,0,23634,76366,0,855
22,0,22833,77167,0,801
22.5,0,22016,77984,0,817
23,0,21292,78708,0,724
23.5,0,20524,79476,0,768
24,0,19835,80165,0,689
24.5,0,19097,80903,0,738
25,0,18437,81563,0,660
25.5,0,17793,82207,0,644
26,0,17225,82775,0,568
26.5,0,16633,83367,0,592
27,0,16005,83995,0,628
27.5,0,15431,84569,0,574
28,0,14877,85123,0,554
28.5,0,14378,85622,0,499
29,0,13851,86149,0,527
29.5,0,13400,86600,0,451
30,0,12901,87099,0,499
30.5,0,12446,87554,0,455
31,0,11970,88030,0,476
31.5,0,11543,88457,0,427
32,0,11142,88858,0,401
32.5,0,10782,89218,0,360
33,0,10430,89570,0,352
33.5,0,10098,89902,0,332
34,0,9738,90262,0,360
34.5,0,9403,90597,0,335
35,0,9060,90940,0,343
35.5,0,8725,91275,0,335
36,0,8418,91582,0,307
36.5,0,8144,91856,0,274
37,0,7867,92133,0,277
37.5,0,7577,92423,0,290
38,0,7324,92676,0,253
38.5,0,7086,92914,0,238
39,0,6839,93161,0,247
39.5,0,6589,93411,0,250
40,0,6372,93628,0,217
40.5,0,6152,93848,0,220
41,0,5934,94066,0,218
41.5,0,5710,94290,0,224
42,0,5495,94505,0,215
42.5,0,5316,94684,0,179
43,0,5153,94847,0,163
43.5,0,4979,95021,0,174
44,0,4824,95176,0,155
44.5,0,4665,95335,0,159
45,0,4500,95500,0,165
45.5,0,4333,95667,0,167
46,0,4189,95811,0,144
46.5,0,4027,95973,0,162
47,0,3895,96105,0,132
47.5,0,3725,96275,0,170
48,0,3587,96413,0,138
48.5,0,3437,96563,0,150
49,0,3313,96687,0,124
49.5,0,3199,96801,0,114
50,0,3111,96889,0,88
50.5,0,2997,97003,0,114
51,0,2896,97104,0,101
51.5,0,2788,97212,0,108
52,0,2692,97308,0,96
52.5,0,2599,97401,0,93
53,0,2504,97496,0,95
53.5,0,2418,97582,0,86
54,0,2326,97674,0,92
54.5,0,2236,97764,0,90
55,0,2161,97839,0,75
55.5,0,2082,97918,0,79
56,0,1999,98001,0,83
56.5,0,1931,98069,0,68
57,0,1867,98133,0,64
57.5,0,1812,98188,0,55
58,0,1753,98247,0,59
58.5,0,1690,98310,0,63
59,0,1640,98360,0,50
59.5,0,1586,98414,0,54
60,0,1532,98468,0,54
60.5,0,1472,98528,0,60
61,0,1417,98583,0,55
61.5,0,1365,98635,0,52
62,0,1324,98676,0,41
62.5,0,1279,98721,0,45
63,0,1229,98771,0,50
63.5,0,1186,98814,0,43
64,0,1142,98858,0,44
64.5,0,1102,98898,0,40
65,0,1072,98928,0,30
65.5,0,1033,98967,0,39
66,0,1002,98998,0,31
66.5,0,968,99032,0,34
67,0,938,99062,0,30
67.5,0,908,99092,0,30
68,0,876,99124,0,32
68.5,0,844,99156,0,32
69,0,822,99178,0,22
69.5,0,796,99204,0,26
70,0,759,99241,0,37
70.5,0,731,99269,0,28
71,0,704,99296,0,27
71.5,0,682,99318,0,22
72,0,660,99340,0,22
72.5,0,624,99376,0,36
73,0,598,99402,0,26
73.5,0,570,99430,0,28
74,0,547,99453,0,23
74.5,0,525,99475,0,22
75,0,510,99490,0,15
75.5,0,490,99510,0,20
76,0,464,99536,0,26
76.5,0,450,99550,0,14
77,0,436,99564,0,14
77.5,0,418,99582,0,18
78,0,409,99591,0,9
78.5,0,396,99604,0,13
79,0,383,99617,0,13
79.5,0,373,99627,0,10
80,0,360,99640,0,13
