"time","S","I","R","new_I","new_R"
0,99000,1000,0,1000,0
0.5,8123,91842,35,90877,35
1,0,96267,3733,8123,3698
1.5,0,92480,7520,0,3787
2,0,88787,11213,0,3693
2.5,0,85310,14690,0,3477
3,0,81997,18003,0,3313
3.5,0,78685,21315,0,3312
4,0,75513,24487,0,3172
4.5,0,72556,27444,0,2957
5,0,69751,30249,0,2805
5.5,0,66994,33006,0,2757
6,0,64363,35637,0,2631
6.5,0,61790,38210,0,2573
7,0,59387,40613,0,2403
7.5,0,57108,42892,0,2279
8,0,54814,45186,0,2294
8.5,0,52687,47313,0,2127
9,0,50629,49371,0,2058
9.5,0,48685,51315,0,1944
10,0,46749,53251,0,1936
10.5,0,44935,55065,0,1814
11,0,43144,56856,0,1791
11.5,0,41453,58547,0,1691
12,0,39835,60165,0,1618
12.5,0,38234,61766,0,1601
13,0,36683,63317,0,1551
13.5,0,35222,64778,0,1461
14,0,33793,66207,0,1429
14.5,0,32476,67524,0,1317
15,0,31258,68742,0,1218
15.5,0,30059,69941,0,1199
16,0,28871,71129,0,1188
16.5,0,27755,72245,0,1116
17,0,26650,73350,0,1105
17.5,0,25612,74388,0,1038
18,0,24594,75406,0,1018
18.5,0,23673,76327,0,921
19,0,22692,77308,0,981
19.5,0,21791,78209,0,901
20,0,20921,79079,0,870
20.5,0,20100,79900,0,821
21,0,19299,80701,0,801
21.5,0,18552,81448,0,747
22,0,17795,82205,0,757
22.5,0,17130,82870,0,665
23,0,16424,83576,0,706
23.5,0,15795,84205,0,629
24,0,15123,84877,0,672
24.5,0,14526,85474,0,597
25,0,13948,86052,0,578
25.5,0,13442,86558,0,506
26,0,12915,87085,0,527
26.5,0,12357,87643,0,558
27,0,11851,88149,0,506
27.5,0,11407,88593,0,444
28,0,10938,89062,0,469
28.5,0,10521,89479,0,417
29,0,10079,89921,0,442
29.5,0,9707,90293,0,372
30,0,9291,90709,0,416
30.5,0,8916,91084,0,375
31,0,8525,91475,0,391
31.5,0,8222,91778,0,303
32,0,7897,92103,0,325
32.5,0,7606,92394,0,291
33,0,7324,92676,0,282
33.5,0,7060,92940,0,264
34,0,6772,93228,0,288
34.5,0,6505,93495,0,267
35,0,6233,93767,0,272
35.5,0,5967,94033,0,266
36,0,5727,94273,0,240
36.5,0,5515,94485,0,212
37,0,5301,94699,0,214
37.5,0,5074,94926,0,227
38,0,4882,95118,0,192
38.5,0,4699,95301,0,183
39,0,4500,95500,0,199
39.5,0,4331,95669,0,169
40,0,4160,95840,0,171
40.5,0,3990,96010,0,170
41,0,3815,96185,0,175
41.5,0,3648,96352,0,167
42,0,3510,96490,0,138
42.5,0,3388,96612,0,122
43,0,3258,96742,0,130
43.5,0,3144,96856,0,114
44,0,3025,96975,0,119
44.5,0,2902,97098,0,123
45,0,2777,97223,0,125
45.5,0,2673,97327,0,104
46,0,2585,97415,0,88
46.5,0,2488,97512,0,97
47,0,2381,97619,0,107
47.5,0,2265,97735,0,116
48,0,2172,97828,0,93
48.5,0,2085,97915,0,87
49,0,1997,98003,0,88
49.5,0,1919,98081,0,78
50,0,1836,98164,0,83
50.5,0,1762,98238,0,74
51,0,1692,98308,0,70
51.5,0,1620,98380,0,72
52,0,1556,98444,0,64
52.5,0,1487,98513,0,69
53,0,1419,98581,0,68
53.5,0,1374,98626,0,45
54,0,1320,98680,0,54
54.5,0,1270,98730,0,50
55,0,1227,98773,0,43
55.5,0,1181,98819,0,46
56,0,1131,98869,0,50
56.5,0,1093,98907,0,38
57,0,1051,98949,0,42
57.5,0,1003,98997,0,48
58,0,959,99041,0,44
58.5,0,918,99082,0,41
59,0,886,99114,0,32
59.5,0,852,99148,0,34
60,0,813,99187,0,39
60.5,0,781,99219,0,32
61,0,747,99253,0,34
61.5,0,706,99294,0,41
62,0,681,99319,0,25
62.5,0,654,99346,0,27
63,0,626,99374,0,28
63.5,0,608,99392,0,18
64,0,590,99410,0,18
64.5,0,574,99426,0,16
65,0,544,99456,0,30
65.5,0,521,99479,0,23
66,0,506,99494,0,15
66.5,0,486,99514,0,20
67,0,468,99532,0,18
67.5,0,451,99549,0,17
68,0,423,99577,0,28
68.5,0,410,99590,0,13
69,0,390,99610,0,20
69.5,0,380,99620,0,10
70,0,366,99634,0,14
70.5,0,356,99644,0,10
71,0,345,99655,0,11
71.5,0,328,99672,0,17
72,0,313,99687,0,15
72.5,0,303,99697,0,10
73,0,291,99709,0,12
73.5,0,284,99716,0,7
74,0,274,99726,0,10
74.5,0,257,99743,0,17
75,0,246,99754,0,11
75.5,0,235,99765,0,11
76,0,227,99773,0,8
76.5,0,219,99781,0,8
77,0,202,99798,0,17
77.5,0,191,99809,0,11
78,0,179,99821,0,12
78.5,0,170,99830,0,9
79,0,161,99839,0,9
79.5,0,156,99844,0,5
80,0,148,99852,0,8
