"time","S","I","R","new_I","new_R"
0,49,1,0,1,0
0.5,49,1,0,0,0
1,49,1,0,0,0
1.5,49,1,0,0,0
2,48,2,0,1,0
2.5,48,2,0,0,0
3,47,3,0,1,0
3.5,46,4,0,1,0
4,46,4,0,0,0
4.5,46,4,0,0,0
5,45,5,0,1,0
5.5,43,7,0,2,0
6,40,10,0,3,0
6.5,40,10,0,0,0
7,39,11,0,1,0
7.5,39,9,2,0,2
8,39,7,4,0,2
8.5,39,5,6,0,2
9,39,5,6,0,0
9.5,38,6,6,1,0
10,36,7,7,2,1
10.5,36,7,7,0,0
11,34,9,7,2,0
11.5,34,9,7,0,0
12,34,9,7,0,0
12.5,33,10,7,1,0
13,33,9,8,0,1
13.5,32,10,8,1,0
14,31,10,9,1,1
14.5,28,13,9,3,0
15,26,15,9,2,0
15.5,25,15,10,1,1
16,25,15,10,0,0
16.5,25,15,10,0,0
17,23,16,11,2,1
17.5,23,14,13,0,2
18,21,16,13,2,0
18.5,20,17,13,1,0
19,17,19,14,3,1
19.5,17,19,14,0,0
20,17,19,14,0,0
20.5,16,20,14,1,0
21,16,20,14,0,0
21.5,15,21,14,1,0
22,15,20,15,0,1
22.5,15,18,17,0,2
23,15,17,18,0,1
23.5,14,17,19,1,1
24,13,16,21,1,2
24.5,11,17,22,2,1
25,10,18,22,1,0
25.5,9,18,23,1,1
26,9,17,24,0,1
26.5,9,17,24,0,0
27,8,18,24,1,0
27.5,7,18,25,1,1
28,7,18,25,0,0
28.5,6,18,26,1,1
29,5,19,26,1,0
29.5,5,18,27,0,1
30,5,17,28,0,1
30.5,4,16,30,1,2
31,4,16,30,0,0
31.5,3,17,30,1,0
32,3,15,32,0,2
32.5,3,15,32,0,0
33,3,14,33,0,1
33.5,3,14,33,0,0
34,3,14,33,0,0
34.5,3,14,33,0,0
35,2,15,33,1,0
35.5,2,14,34,0,1
36,2,14,34,0,0
36.5,2,13,35,0,1
37,2,13,35,0,0
37.5,1,13,36,1,1
38,1,13,36,0,0
38.5,1,13,36,0,0
39,1,13,36,0,0
39.5,1,12,37,0,1
40,1,11,38,0,1
40.5,1,10,39,0,1
41,1,10,39,0,0
41.5,1,10,39,0,0
42,1,8,41,0,2
42.5,1,8,41,0,0
43,1,8,41,0,0
43.5,1,7,42,0,1
44,0,6,44,1,2
44.5,0,5,45,0,1
45,0,5,45,0,0
45.5,0,5,45,0,0
46,0,5,45,0,0
46.5,0,5,45,0,0
47,0,5,45,0,0
47.5,0,5,45,0,0
48,0,4,46,0,1
48.5,0,4,46,0,0
49,0,4,46,0,0
49.5,0,4,46,0,0
50,0,4,46,0,0
50.5,0,4,46,0,0
51,0,4,46,0,0
51.5,0,4,46,0,0
52,0,4,46,0,0
52.5,0,4,46,0,0
53,0,3,47,0,1
53.5,0,3,47,0,0
54,0,3,47,0,0
54.5,0,3,47,0,0
55,0,3,47,0,0
55.5,0,3,47,0,0
56,0,3,47,0,0
56.5,0,3,47,0,0
57,0,3,47,0,0
57.5,0,3,47,0,0
58,0,3,47,0,0
58.5,0,3,47,0,0
59,0,3,47,0,0
59.5,0,3,47,0,0
60,0,3,47,0,0
60.5,0,3,47,0,0
61,0,3,47,0,0
61.5,0,3,47,0,0
62,0,3,47,0,0
62.5,0,3,47,0,0
63,0,2,48,0,1
63.5,0,2,48,0,0
64,0,2,48,0,0
64.5,0,2,48,0,0
65,0,2,48,0,0
65.5,0,2,48,0,0
66,0,2,48,0,0
66.5,0,2,48,0,0
67,0,2,48,0,0
67.5,0,2,48,0,0
68,0,1,49,0,1
68.5,0,1,49,0,0
69,0,1,49,0,0
69.5,0,1,49,0,0
70,0,1,49,0,0
70.5,0,1,49,0,0
71,0,1,49,0,0
71.5,0,1,49,0,0
72,0,0,50,0,1
72.5,0,0,50,0,0
73,0,0,50,0,0
73.5,0,0,50,0,0
74,0,0,50,0,0
74.5,0,0,50,0,0
75,0,0,50,0,0
75.5,0,0,50,0,0
76,0,0,50,0,0
76.5,0,0,50,0,0
77,0,0,50,0,0
77.5,0,0,50,0,0
78,0,0,50,0,0
78.5,0,0,50,0,0
79,0,0,50,0,0
79.5,0,0,50,0,0
80,0,0,50,0,0
