"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,196,4,0,0,0
1,195,5,0,1,0
1.5,193,7,0,2,0
2,191,9,0,2,0
2.5,191,9,0,0,0
3,189,11,0,2,0
3.5,188,11,1,1,1
4,186,12,2,2,1
4.5,186,11,3,0,1
5,184,12,4,2,1
5.5,184,12,4,0,0
6,183,12,5,1,1
6.5,182,12,6,1,1
7,182,12,6,0,0
7.5,181,13,6,1,0
8,179,15,6,2,0
8.5,176,17,7,3,1
9,173,20,7,3,0
9.5,172,20,8,1,1
10,169,22,9,3,1
10.5,169,19,12,0,3
11,168,19,13,1,1
11.5,167,20,13,1,0
12,166,21,13,1,0
12.5,164,22,14,2,1
13,164,22,14,0,0
13.5,161,25,14,3,0
14,159,27,14,2,0
14.5,158,26,16,1,2
15,158,25,17,0,1
15.5,158,24,18,0,1
16,157,24,19,1,1
16.5,155,26,19,2,0
17,153,26,21,2,2
17.5,151,27,22,2,1
18,150,26,24,1,2
18.5,148,27,25,2,1
19,147,26,27,1,2
19.5,144,28,28,3,1
20,143,27,30,1,2
20.5,142,28,30,1,0
21,140,29,31,2,1
21.5,139,27,34,1,3
22,138,28,34,1,0
22.5,138,27,35,0,1
23,138,27,35,0,0
23.5,138,25,37,0,2
24,136,24,40,2,3
24.5,134,26,40,2,0
25,133,25,42,1,2
25.5,133,25,42,0,0
26,129,27,44,4,2
26.5,129,27,44,0,0
27,129,27,44,0,0
27.5,128,27,45,1,1
28,126,27,47,2,2
28.5,126,27,47,0,0
29,125,27,48,1,1
29.5,123,29,48,2,0
30,122,27,51,1,3
30.5,121,27,52,1,1
31,121,27,52,0,0
31.5,120,26,54,1,2
32,120,25,55,0,1
32.5,120,22,58,0,3
33,120,22,58,0,0
33.5,119,21,60,1,2
34,119,20,61,0,1
34.5,116,21,63,3,2
35,115,20,65,1,2
35.5,113,22,65,2,0
36,112,22,66,1,1
36.5,111,21,68,1,2
37,110,21,69,1,1
37.5,109,21,70,1,1
38,107,22,71,2,1
38.5,107,22,71,0,0
39,106,23,71,1,0
39.5,105,22,73,1,2
40,105,21,74,0,1
40.5,105,21,74,0,0
41,103,21,76,2,2
41.5,102,20,78,1,2
42,102,19,79,0,1
42.5,102,17,81,0,2
43,100,17,83,2,2
43.5,100,17,83,0,0
44,100,17,83,0,0
44.5,100,14,86,0,3
45,100,13,87,0,1
45.5,99,13,88,1,1
46,99,11,90,0,2
46.5,99,11,90,0,0
47,98,11,91,1,1
47.5,98,11,91,0,0
48,98,11,91,0,0
48.5,98,10,92,0,1
49,98,10,92,0,0
49.5,98,9,93,0,1
50,98,9,93,0,0
50.5,97,9,94,1,1
51,96,9,95,1,1
51.5,96,8,96,0,1
52,96,8,96,0,0
52.5,96,8,96,0,0
53,96,8,96,0,0
53.5,94,9,97,2,1
54,94,9,97,0,0
54.5,94,8,98,0,1
55,94,8,98,0,0
55.5,93,9,98,1,0
56,93,9,98,0,0
56.5,92,10,98,1,0
57,92,8,100,0,2
57.5,91,9,100,1,0
58,89,11,100,2,0
58.5,89,10,101,0,1
59,89,10,101,0,0
59.5,89,10,101,0,0
60,89,10,101,0,0
60.5,89,9,102,0,1
61,89,9,102,0,0
61.5,89,8,103,0,1
62,89,7,104,0,1
62.5,88,8,104,1,0
63,88,7,105,0,1
63.5,88,7,105,0,0
64,88,7,105,0,0
64.5,88,7,105,0,0
65,87,8,105,1,0
65.5,87,8,105,0,0
66,87,7,106,0,1
66.5,87,7,106,0,0
67,87,7,106,0,0
67.5,87,7,106,0,0
68,87,7,106,0,0
68.5,87,7,106,0,0
69,87,6,107,0,1
69.5,87,6,107,0,0
70,87,6,107,0,0
70.5,87,6,107,0,0
71,86,7,107,1,0
71.5,86,6,108,0,1
72,85,7,108,1,0
72.5,84,8,108,1,0
73,84,7,109,0,1
73.5,84,7,109,0,0
74,84,7,109,0,0
74.5,83,8,109,1,0
75,83,5,112,0,3
75.5,82,6,112,1,0
76,82,6,112,0,0
76.5,82,6,112,0,0
77,82,6,112,0,0
77.5,82,6,112,0,0
78,82,5,113,0,1
78.5,82,5,113,0,0
79,82,5,113,0,0
79.5,82,5,113,0,0
80,82,4,114,0,1
