"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,191,9,0,5,0
1,190,10,0,1,0
1.5,188,11,1,2,1
2,185,12,3,3,2
2.5,183,14,3,2,0
3,180,17,3,3,0
3.5,173,24,3,7,0
4,166,31,3,7,0
4.5,156,41,3,10,0
5,137,59,4,19,1
5.5,121,73,6,16,2
6,95,93,12,26,6
6.5,71,115,14,24,2
7,56,125,19,15,5
7.5,38,138,24,18,5
8,28,143,29,10,5
8.5,23,143,34,5,5
9,18,138,44,5,10
9.5,14,133,53,4,9
10,9,132,59,5,6
10.5,6,129,65,3,6
11,4,125,71,2,6
11.5,2,122,76,2,5
12,2,114,84,0,8
12.5,1,105,94,1,10
13,1,99,100,0,6
13.5,1,94,105,0,5
14,1,90,109,0,4
14.5,1,87,112,0,3
15,1,84,115,0,3
15.5,1,80,119,0,4
16,1,75,124,0,5
16.5,1,71,128,0,4
17,1,68,131,0,3
17.5,1,65,134,0,3
18,1,62,137,0,3
18.5,1,59,140,0,3
19,1,56,143,0,3
19.5,1,54,145,0,2
20,1,49,150,0,5
20.5,1,45,154,0,4
21,1,42,157,0,3
21.5,1,42,157,0,0
22,1,39,160,0,3
22.5,1,38,161,0,1
23,1,38,161,0,0
23.5,1,37,162,0,1
24,1,35,164,0,2
24.5,1,34,165,0,1
25,1,33,166,0,1
25.5,1,32,167,0,1
26,1,31,168,0,1
26.5,1,30,169,0,1
27,0,31,169,1,0
27.5,0,29,171,0,2
28,0,29,171,0,0
28.5,0,27,173,0,2
29,0,26,174,0,1
29.5,0,26,174,0,0
30,0,24,176,0,2
30.5,0,23,177,0,1
31,0,22,178,0,1
31.5,0,21,179,0,1
32,0,19,181,0,2
32.5,0,19,181,0,0
33,0,17,183,0,2
33.5,0,16,184,0,1
34,0,15,185,0,1
34.5,0,14,186,0,1
35,0,14,186,0,0
35.5,0,13,187,0,1
36,0,13,187,0,0
36.5,0,12,188,0,1
37,0,12,188,0,0
37.5,0,11,189,0,1
38,0,11,189,0,0
38.5,0,10,190,0,1
39,0,9,191,0,1
39.5,0,8,192,0,1
40,0,8,192,0,0
40.5,0,7,193,0,1
41,0,7,193,0,0
41.5,0,6,194,0,1
42,0,5,195,0,1
42.5,0,5,195,0,0
43,0,4,196,0,1
43.5,0,4,196,0,0
44,0,4,196,0,0
44.5,0,4,196,0,0
45,0,4,196,0,0
45.5,0,4,196,0,0
46,0,4,196,0,0
46.5,0,4,196,0,0
47,0,3,197,0,1
47.5,0,3,197,0,0
48,0,2,198,0,1
48.5,0,2,198,0,0
49,0,2,198,0,0
49.5,0,2,198,0,0
50,0,2,198,0,0
50.5,0,2,198,0,0
51,0,2,198,0,0
51.5,0,2,198,0,0
52,0,2,198,0,0
52.5,0,1,199,0,1
53,0,1,199,0,0
53.5,0,1,199,0,0
54,0,1,199,0,0
54.5,0,1,199,0,0
55,0,1,199,0,0
55.5,0,1,199,0,0
56,0,1,199,0,0
56.5,0,1,199,0,0
57,0,1,199,0,0
57.5,0,1,199,0,0
58,0,1,199,0,0
58.5,0,1,199,0,0
59,0,1,199,0,0
59.5,0,1,199,0,0
60,0,1,199,0,0
60.5,0,1,199,0,0
61,0,1,199,0,0
61.5,0,1,199,0,0
62,0,1,199,0,0
62.5,0,1,199,0,0
63,0,0,200,0,1
63.5,0,0,200,0,0
64,0,0,200,0,0
64.5,0,0,200,0,0
65,0,0,200,0,0
65.5,0,0,200,0,0
66,0,0,200,0,0
66.5,0,0,200,0,0
67,0,0,200,0,0
67.5,0,0,200,0,0
68,0,0,200,0,0
68.5,0,0,200,0,0
69,0,0,200,0,0
69.5,0,0,200,0,0
70,0,0,200,0,0
70.5,0,0,200,0,0
71,0,0,200,0,0
71.5,0,0,200,0,0
72,0,0,200,0,0
72.5,0,0,200,0,0
73,0,0,200,0,0
73.5,0,0,200,0,0
74,0,0,200,0,0
74.5,0,0,200,0,0
75,0,0,200,0,0
75.5,0,0,200,0,0
76,0,0,200,0,0
76.5,0,0,200,0,0
77,0,0,200,0,0
77.5,0,0,200,0,0
78,0,0,200,0,0
78.5,0,0,200,0,0
79,0,0,200,0,0
79.5,0,0,200,0,0
80,0,0,200,0,0
