"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,973,27,0,7,0
1,961,39,0,12,0
1.5,950,44,6,11,6
2,937,55,8,13,2
2.5,908,82,10,29,2
3,876,105,19,32,9
3.5,847,126,27,29,8
4,809,158,33,38,6
4.5,764,190,46,45,13
5,697,249,54,67,8
5.5,616,320,64,81,10
6,536,377,87,80,23
6.5,450,440,110,86,23
7,363,491,146,87,36
7.5,287,532,181,76,35
8,228,560,212,59,31
8.5,177,573,250,51,38
9,141,569,290,36,40
9.5,103,569,328,38,38
10,83,557,360,20,32
10.5,68,520,412,15,52
11,56,491,453,12,41
11.5,47,468,485,9,32
12,38,446,516,9,31
12.5,32,421,547,6,31
13,25,396,579,7,32
13.5,20,383,597,5,18
14,17,354,629,3,32
14.5,16,326,658,1,29
15,15,303,682,1,24
15.5,14,279,707,1,25
16,12,262,726,2,19
16.5,11,248,741,1,15
17,11,228,761,0,20
17.5,9,213,778,2,17
18,9,196,795,0,17
18.5,9,183,808,0,13
19,8,169,823,1,15
19.5,8,152,840,0,17
20,8,141,851,0,11
20.5,8,133,859,0,8
21,8,116,876,0,17
21.5,8,108,884,0,8
22,8,105,887,0,3
22.5,7,97,896,1,9
23,7,85,908,0,12
23.5,7,81,912,0,4
24,7,78,915,0,3
24.5,7,74,919,0,4
25,7,67,926,0,7
25.5,5,63,932,2,6
26,5,59,936,0,4
26.5,5,56,939,0,3
27,5,52,943,0,4
27.5,5,46,949,0,6
28,5,43,952,0,3
28.5,5,41,954,0,2
29,5,37,958,0,4
29.5,5,36,959,0,1
30,5,33,962,0,3
30.5,5,31,964,0,2
31,5,28,967,0,3
31.5,5,27,968,0,1
32,5,26,969,0,1
32.5,5,21,974,0,5
33,5,20,975,0,1
33.5,5,20,975,0,0
34,5,18,977,0,2
34.5,5,18,977,0,0
35,5,18,977,0,0
35.5,5,15,980,0,3
36,5,15,980,0,0
36.5,5,13,982,0,2
37,5,13,982,0,0
37.5,5,12,983,0,1
38,5,12,983,0,0
38.5,5,10,985,0,2
39,4,11,985,1,0
39.5,4,9,987,0,2
40,4,9,987,0,0
40.5,4,9,987,0,0
41,4,8,988,0,1
41.5,4,7,989,0,1
42,4,7,989,0,0
42.5,4,7,989,0,0
43,4,6,990,0,1
43.5,4,5,991,0,1
44,4,5,991,0,0
44.5,3,5,992,1,1
45,3,4,993,0,1
45.5,3,3,994,0,1
46,3,2,995,0,1
46.5,3,2,995,0,0
47,3,2,995,0,0
47.5,3,2,995,0,0
48,3,2,995,0,0
48.5,3,2,995,0,0
49,3,2,995,0,0
49.5,3,2,995,0,0
50,3,2,995,0,0
50.5,3,1,996,0,1
51,3,1,996,0,0
51.5,3,1,996,0,0
52,3,1,996,0,0
52.5,3,1,996,0,0
53,3,1,996,0,0
53.5,3,1,996,0,0
54,3,1,996,0,0
54.5,3,1,996,0,0
55,3,1,996,0,0
55.5,3,1,996,0,0
56,3,1,996,0,0
56.5,3,1,996,0,0
57,3,1,996,0,0
57.5,3,1,996,0,0
58,3,1,996,0,0
58.5,3,1,996,0,0
59,3,1,996,0,0
59.5,3,1,996,0,0
60,3,1,996,0,0
60.5,3,1,996,0,0
61,3,1,996,0,0
61.5,3,1,996,0,0
62,3,1,996,0,0
62.5,3,1,996,0,0
63,3,1,996,0,0
63.5,3,1,996,0,0
64,3,0,997,0,1
64.5,3,0,997,0,0
65,3,0,997,0,0
65.5,3,0,997,0,0
66,3,0,997,0,0
66.5,3,0,997,0,0
67,3,0,997,0,0
67.5,3,0,997,0,0
68,3,0,997,0,0
68.5,3,0,997,0,0
69,3,0,997,0,0
69.5,3,0,997,0,0
70,3,0,997,0,0
70.5,3,0,997,0,0
71,3,0,997,0,0
71.5,3,0,997,0,0
72,3,0,997,0,0
72.5,3,0,997,0,0
73,3,0,997,0,0
73.5,3,0,997,0,0
74,3,0,997,0,0
74.5,3,0,997,0,0
75,3,0,997,0,0
75.5,3,0,997,0,0
76,3,0,997,0,0
76.5,3,0,997,0,0
77,3,0,997,0,0
77.5,3,0,997,0,0
78,3,0,997,0,0
78.5,3,0,997,0,0
79,3,0,997,0,0
79.5,3,0,997,0,0
80,3,0,997,0,0
