"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,980,19,1,0,1
1,977,20,3,3,2
1.5,972,25,3,5,0
2,969,27,4,3,1
2.5,968,26,6,1,2
3,965,26,9,3,3
3.5,962,28,10,3,1
4,957,33,10,5,0
4.5,954,34,12,3,2
5,949,38,13,5,1
5.5,947,37,16,2,3
6,943,38,19,4,3
6.5,938,38,24,5,5
7,934,38,28,4,4
7.5,931,40,29,3,1
8,925,42,33,6,4
8.5,920,41,39,5,6
9,913,42,45,7,6
9.5,910,43,47,3,2
10,909,42,49,1,2
10.5,903,45,52,6,3
11,896,50,54,7,2
11.5,893,51,56,3,2
12,884,53,63,9,7
12.5,875,58,67,9,4
13,870,59,71,5,4
13.5,860,62,78,10,7
14,852,68,80,8,2
14.5,847,69,84,5,4
15,841,71,88,6,4
15.5,836,71,93,5,5
16,828,75,97,8,4
16.5,822,77,101,6,4
17,816,79,105,6,4
17.5,807,84,109,9,4
18,800,81,119,7,10
18.5,792,83,125,8,6
19,783,89,128,9,3
19.5,772,95,133,11,5
20,764,100,136,8,3
20.5,748,111,141,16,5
21,739,113,148,9,7
21.5,730,113,157,9,9
22,715,120,165,15,8
22.5,704,123,173,11,8
23,697,123,180,7,7
23.5,686,128,186,11,6
24,682,117,201,4,15
24.5,670,122,208,12,7
25,659,126,215,11,7
25.5,651,125,224,8,9
26,635,136,229,16,5
26.5,627,134,239,8,10
27,614,140,246,13,7
27.5,604,139,257,10,11
28,596,140,264,8,7
28.5,586,139,275,10,11
29,573,142,285,13,10
29.5,568,133,299,5,14
30,561,130,309,7,10
30.5,552,131,317,9,8
31,544,131,325,8,8
31.5,534,131,335,10,10
32,521,136,343,13,8
32.5,510,133,357,11,14
33,500,129,371,10,14
33.5,495,123,382,5,11
34,488,121,391,7,9
34.5,477,122,401,11,10
35,468,125,407,9,6
35.5,463,124,413,5,6
36,453,127,420,10,7
36.5,449,117,434,4,14
37,445,115,440,4,6
37.5,437,115,448,8,8
38,432,115,453,5,5
38.5,427,114,459,5,6
39,424,109,467,3,8
39.5,421,102,477,3,10
40,418,98,484,3,7
40.5,415,97,488,3,4
41,412,94,494,3,6
41.5,411,91,498,1,4
42,409,85,506,2,8
42.5,406,87,507,3,1
43,402,84,514,4,7
43.5,399,80,521,3,7
44,392,82,526,7,5
44.5,389,76,535,3,9
45,386,72,542,3,7
45.5,382,68,550,4,8
46,380,67,553,2,3
46.5,379,60,561,1,8
47,376,55,569,3,8
47.5,376,52,572,0,3
48,373,51,576,3,4
48.5,372,51,577,1,1
49,367,51,582,5,5
49.5,367,47,586,0,4
50,364,47,589,3,3
50.5,362,45,593,2,4
51,361,44,595,1,2
51.5,359,43,598,2,3
52,357,41,602,2,4
52.5,352,41,607,5,5
53,350,41,609,2,2
53.5,349,37,614,1,5
54,348,34,618,1,4
54.5,346,31,623,2,5
55,343,32,625,3,2
55.5,343,31,626,0,1
56,341,32,627,2,1
56.5,340,31,629,1,2
57,339,30,631,1,2
57.5,339,25,636,0,5
58,339,24,637,0,1
58.5,338,24,638,1,1
59,338,21,641,0,3
59.5,336,22,642,2,1
60,335,21,644,1,2
60.5,334,22,644,1,0
61,333,23,644,1,0
61.5,333,19,648,0,4
62,331,19,650,2,2
62.5,329,17,654,2,4
63,329,17,654,0,0
63.5,326,20,654,3,0
64,326,18,656,0,2
64.5,326,17,657,0,1
65,326,16,658,0,1
65.5,325,17,658,1,0
66,325,13,662,0,4
66.5,325,13,662,0,0
67,324,12,664,1,2
67.5,324,10,666,0,2
68,324,10,666,0,0
68.5,324,9,667,0,1
69,322,10,668,2,1
69.5,322,9,669,0,1
70,321,10,669,1,0
70.5,321,8,671,0,2
71,321,6,673,0,2
71.5,321,6,673,0,0
72,321,5,674,0,1
72.5,320,5,675,1,1
73,320,2,678,0,3
73.5,320,2,678,0,0
74,320,1,679,0,1
74.5,320,1,679,0,0
75,320,1,679,0,0
75.5,320,1,679,0,0
76,320,1,679,0,0
76.5,320,0,680,0,1
77,320,0,680,0,0
77.5,320,0,680,0,0
78,320,0,680,0,0
78.5,320,0,680,0,0
79,320,0,680,0,0
79.5,320,0,680,0,0
80,320,0,680,0,0
