"time","S","I","R","new_I","new_R"
0,49,1,0,1,0
0.5,49,1,0,0,0
1,49,1,0,0,0
1.5,49,1,0,0,0
2,49,1,0,0,0
2.5,47,2,1,2,1
3,47,2,1,0,0
3.5,47,2,1,0,0
4,47,2,1,0,0
4.5,46,3,1,1,0
5,46,3,1,0,0
5.5,46,3,1,0,0
6,46,3,1,0,0
6.5,46,3,1,0,0
7,46,3,1,0,0
7.5,46,3,1,0,0
8,46,3,1,0,0
8.5,45,4,1,1,0
9,45,4,1,0,0
9.5,43,6,1,2,0
10,41,8,1,2,0
10.5,40,9,1,1,0
11,38,11,1,2,0
11.5,36,13,1,2,0
12,33,16,1,3,0
12.5,32,17,1,1,0
13,30,18,2,2,1
13.5,28,20,2,2,0
14,26,21,3,2,1
14.5,24,20,6,2,3
15,23,20,7,1,1
15.5,21,22,7,2,0
16,19,24,7,2,0
16.5,17,26,7,2,0
17,16,25,9,1,2
17.5,16,25,9,0,0
18,12,28,10,4,1
18.5,11,27,12,1,2
19,11,26,13,0,1
19.5,9,27,14,2,1
20,9,27,14,0,0
20.5,9,26,15,0,1
21,9,25,16,0,1
21.5,9,25,16,0,0
22,9,24,17,0,1
22.5,8,25,17,1,0
23,7,25,18,1,1
23.5,7,23,20,0,2
24,6,23,21,1,1
24.5,6,23,21,0,0
25,5,23,22,1,1
25.5,5,23,22,0,0
26,4,23,23,1,1
26.5,4,21,25,0,2
27,4,21,25,0,0
27.5,4,21,25,0,0
28,4,21,25,0,0
28.5,3,22,25,1,0
29,3,22,25,0,0
29.5,3,20,27,0,2
30,3,19,28,0,1
30.5,2,19,29,1,1
31,2,19,29,0,0
31.5,2,18,30,0,1
32,2,18,30,0,0
32.5,2,18,30,0,0
33,1,18,31,1,1
33.5,1,18,31,0,0
34,1,18,31,0,0
34.5,1,18,31,0,0
35,1,17,32,0,1
35.5,1,17,32,0,0
36,1,17,32,0,0
36.5,1,16,33,0,1
37,1,14,35,0,2
37.5,1,14,35,0,0
38,1,13,36,0,1
38.5,1,13,36,0,0
39,1,13,36,0,0
39.5,1,13,36,0,0
40,1,13,36,0,0
40.5,1,13,36,0,0
41,1,12,37,0,1
41.5,1,11,38,0,1
42,1,10,39,0,1
42.5,1,10,39,0,0
43,1,9,40,0,1
43.5,1,9,40,0,0
44,1,9,40,0,0
44.5,1,8,41,0,1
45,1,8,41,0,0
45.5,1,7,42,0,1
46,1,7,42,0,0
46.5,1,7,42,0,0
47,1,7,42,0,0
47.5,1,7,42,0,0
48,1,7,42,0,0
48.5,1,7,42,0,0
49,1,7,42,0,0
49.5,1,6,43,0,1
50,1,5,44,0,1
50.5,1,4,45,0,1
51,1,4,45,0,0
51.5,1,4,45,0,0
52,1,4,45,0,0
52.5,1,4,45,0,0
53,1,4,45,0,0
53.5,1,4,45,0,0
54,1,4,45,0,0
54.5,1,4,45,0,0
55,1,4,45,0,0
55.5,1,3,46,0,1
56,1,3,46,0,0
56.5,1,3,46,0,0
57,1,3,46,0,0
57.5,1,3,46,0,0
58,1,3,46,0,0
58.5,1,3,46,0,0
59,1,3,46,0,0
59.5,1,3,46,0,0
60,1,3,46,0,0
60.5,1,3,46,0,0
61,1,3,46,0,0
61.5,1,3,46,0,0
62,0,4,46,1,0
62.5,0,4,46,0,0
63,0,4,46,0,0
63.5,0,4,46,0,0
64,0,4,46,0,0
64.5,0,4,46,0,0
65,0,3,47,0,1
65.5,0,2,48,0,1
66,0,2,48,0,0
66.5,0,2,48,0,0
67,0,2,48,0,0
67.5,0,2,48,0,0
68,0,2,48,0,0
68.5,0,2,48,0,0
69,0,2,48,0,0
69.5,0,2,48,0,0
70,0,2,48,0,0
70.5,0,2,48,0,0
71,0,2,48,0,0
71.5,0,2,48,0,0
72,0,2,48,0,0
72.5,0,2,48,0,0
73,0,1,49,0,1
73.5,0,1,49,0,0
74,0,1,49,0,0
74.5,0,0,50,0,1
75,0,0,50,0,0
75.5,0,0,50,0,0
76,0,0,50,0,0
76.5,0,0,50,0,0
77,0,0,50,0,0
77.5,0,0,50,0,0
78,0,0,50,0,0
78.5,0,0,50,0,0
79,0,0,50,0,0
79.5,0,0,50,0,0
80,0,0,50,0,0
