"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,979,21,0,1,0
1,975,25,0,4,0
1.5,973,26,1,2,1
2,972,26,2,1,1
2.5,969,26,5,3,3
3,965,24,11,4,6
3.5,961,27,12,4,1
4,957,28,15,4,3
4.5,954,29,17,3,2
5,950,33,17,4,0
5.5,947,33,20,3,3
6,946,32,22,1,2
6.5,940,36,24,6,2
7,934,39,27,6,3
7.5,928,43,29,6,2
8,926,42,32,2,3
8.5,920,45,35,6,3
9,912,52,36,8,1
9.5,905,58,37,7,1
10,899,61,40,6,3
10.5,895,58,47,4,7
11,887,63,50,8,3
11.5,881,65,54,6,4
12,877,65,58,4,4
12.5,869,70,61,8,3
13,857,77,66,12,5
13.5,851,81,68,6,2
14,841,84,75,10,7
14.5,836,86,78,5,3
15,825,87,88,11,10
15.5,818,88,94,7,6
16,808,95,97,10,3
16.5,801,92,107,7,10
17,796,86,118,5,11
17.5,785,90,125,11,7
18,780,91,129,5,4
18.5,769,92,139,11,10
19,764,91,145,5,6
19.5,758,90,152,6,7
20,752,88,160,6,8
20.5,745,92,163,7,3
21,737,95,168,8,5
21.5,732,96,172,5,4
22,728,95,177,4,5
22.5,716,100,184,12,7
23,708,101,191,8,7
23.5,701,100,199,7,8
24,689,103,208,12,9
24.5,681,105,214,8,6
25,670,105,225,11,11
25.5,661,108,231,9,6
26,652,106,242,9,11
26.5,642,110,248,10,6
27,639,107,254,3,6
27.5,630,104,266,9,12
28,622,107,271,8,5
28.5,615,104,281,7,10
29,604,103,293,11,12
29.5,595,104,301,9,8
30,586,103,311,9,10
30.5,581,102,317,5,6
31,574,99,327,7,10
31.5,567,102,331,7,4
32,562,98,340,5,9
32.5,557,98,345,5,5
33,551,94,355,6,10
33.5,543,95,362,8,7
34,538,96,366,5,4
34.5,527,104,369,11,3
35,519,105,376,8,7
35.5,514,102,384,5,8
36,507,101,392,7,8
36.5,500,101,399,7,7
37,494,101,405,6,6
37.5,492,98,410,2,5
38,488,97,415,4,5
38.5,482,93,425,6,10
39,476,95,429,6,4
39.5,470,93,437,6,8
40,464,96,440,6,3
40.5,460,87,453,4,13
41,456,83,461,4,8
41.5,455,80,465,1,4
42,449,77,474,6,9
42.5,442,78,480,7,6
43,437,76,487,5,7
43.5,434,74,492,3,5
44,430,75,495,4,3
44.5,426,76,498,4,3
45,422,74,504,4,6
45.5,418,74,508,4,4
46,415,74,511,3,3
46.5,410,73,517,5,6
47,407,70,523,3,6
47.5,403,71,526,4,3
48,401,69,530,2,4
48.5,399,66,535,2,5
49,399,57,544,0,9
49.5,394,58,548,5,4
50,391,58,551,3,3
50.5,389,53,558,2,7
51,387,52,561,2,3
51.5,386,52,562,1,1
52,384,53,563,2,1
52.5,384,51,565,0,2
53,381,50,569,3,4
53.5,379,47,574,2,5
54,377,46,577,2,3
54.5,376,43,581,1,4
55,375,41,584,1,3
55.5,372,39,589,3,5
56,371,37,592,1,3
56.5,369,37,594,2,2
57,368,36,596,1,2
57.5,367,35,598,1,2
58,363,37,600,4,2
58.5,362,36,602,1,2
59,360,34,606,2,4
59.5,357,30,613,3,7
60,355,28,617,2,4
60.5,355,26,619,0,2
61,354,25,621,1,2
61.5,352,24,624,2,3
62,352,23,625,0,1
62.5,352,21,627,0,2
63,350,22,628,2,1
63.5,350,18,632,0,4
64,350,17,633,0,1
64.5,350,15,635,0,2
65,350,13,637,0,2
65.5,349,11,640,1,3
66,349,10,641,0,1
66.5,348,11,641,1,0
67,347,11,642,1,1
67.5,346,12,642,1,0
68,346,12,642,0,0
68.5,346,11,643,0,1
69,346,8,646,0,3
69.5,346,8,646,0,0
70,346,7,647,0,1
70.5,346,6,648,0,1
71,346,5,649,0,1
71.5,346,5,649,0,0
72,346,4,650,0,1
72.5,346,3,651,0,1
73,346,3,651,0,0
73.5,346,3,651,0,0
74,346,3,651,0,0
74.5,346,2,652,0,1
75,346,2,652,0,0
75.5,346,1,653,0,1
76,346,1,653,0,0
76.5,346,1,653,0,0
77,346,1,653,0,0
77.5,346,1,653,0,0
78,346,1,653,0,0
78.5,346,1,653,0,0
79,346,1,653,0,0
79.5,346,1,653,0,0
80,346,0,654,0,1
